Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logFC	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d FDR	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logCPM
NM_018873	Srcin1|P140|SNIP|mKIAA1684|p140Cap|RP23-157O10.7|11 D|11|protein-coding	-4.66913108962075	5.18886611703997e-14	6.6710025243208895
NM_016970	Klrg1|2F1-Ag|MAFA|MAFA-L|-|6 F1|6 57.52 cM|protein-coding	-4.66350431191149	2.09288550097915e-14	8.51183108755044
NM_010768	Matk|CHK|HYL|Ntk|-|10 C1|10 39.72 cM|protein-coding	-4.5064482506629195	1.3965758643599699e-11	4.47506388312566
NM_008428	Kcnj8|AI448900|Kir6.1|gnite|slmbr|sltr|-|6 G2|6 74.31 cM|protein-coding	-4.50308725355725	2.9406358208404197e-13	6.68819710133981
NM_001083935	Pth1r|PPR|Pthr|Pthr1|-|9 F|9 60.56 cM|protein-coding	-4.4873525233199105	1.4144133871257998e-07	2.40917613526235
NM_009139	Ccl6|MRP-1|Scya6|c10|RP23-320E6.4|11 C|11 50.85 cM|protein-coding	-4.13998601627047	7.991356806153859e-07	2.3394780886852997
NR_033657	Miat|3632434I06|A230057G18Rik|Rncr2|gomafu|-|5 F|5|ncRNA	-3.98717709584822	1.9542543164356998e-10	5.482851124470231
NR_110572	Zeb2os|Gm13476|OTTMUSG00000012358|RP23-431O5.1|2 B|2|ncRNA	-3.92210043891019	5.75002914972104e-07	2.69211575390594
NM_053190	S1pr5|Edg8|S1P5|lpB4|-|9|9 A4|protein-coding	-3.82365817217278	1.61516438863579e-10	9.20899950052954
NM_176830	Leprel4|1110036O03Rik|AI413214|Sc65|RP23-392I3.4|11 D|11|protein-coding	-3.6710899335621203	6.09152122207658e-06	2.3085255576361297
NM_007419	Adrb1|Adrb-1|beta-AR|-|19 D2|19 51.96 cM|protein-coding	-3.6040168210784196	9.002540177921421e-07	3.01268572093799
NM_008519	Ltb4r1|BLT1|BLTR|Ltb4r|mBLTR|-|14 C3|14 28.19 cM|protein-coding	-3.21717770139464	1.4150145771062301e-05	2.9384157330882696
NM_053153	Klra18|Ly49r|-|6 F3|6|protein-coding	-3.17643607784164	1.08171165927009e-05	3.0565806308212204
NM_010649	Klra4|Chok|Klra32|Klra33|Ly-49d|Ly49d|ly49r<129>|RP23-128D23.4|6 F3|6 63.44 cM|protein-coding	-3.17140203740574	2.0031784698823103e-05	2.89845055735701
NM_007809	Cyp17a1|Cyp17|p450c17|-|19 C3|19 38.97 cM|protein-coding	-3.12883151968537	6.09152122207658e-06	3.65152805132221
NM_015753	Zeb2|9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b|RP23-457H10.1|2|2 C1|protein-coding	-3.06951726051029	5.02575551781634e-07	7.86654380065295
NM_012031	Spag1|tpis|-|15|15 C|protein-coding	-3.06931985768185	6.36987015805103e-05	2.6378468171134304
NM_011338	Ccl9|CCF18|MRP-2|Scya10|Scya9|RP23-320E6.3|11 C|11 50.81 cM|protein-coding	-3.0431508845084703	1.14739674852764e-06	5.783935961674019
NM_023612	Esm1|0610042H23Rik|AV004503|ESM-1|-|13 D2.2|13|protein-coding	-2.8473110861115303	5.48718659598393e-06	6.55442447808447
NM_009987	Cx3cr1|-|-|9 F4|9|protein-coding	-2.79605876741089	6.05805164494117e-06	9.77686087072483
NM_011594	Timp2|D11Bwg1104e|Timp-2|RP23-394O9.2|11 E2|11 83.09 cM|protein-coding	-2.7662237202073903	4.9859805566686895e-05	4.0267450914271095
NM_175381	2700081O15Rik|AI255177|AI848741|AW742297|-|19 A|19|protein-coding	-2.75362247345942	0.000137116731786621	3.27941567548199
NM_001082960	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F4|protein-coding	-2.74938370111681	1.12065434229953e-05	6.865401993277549
NM_026725	Dusp23|1300005N15Rik|LDP-3|-|1 H3|1|protein-coding	-2.6830099793155497	0.00197768949585855	2.00795691462781
NM_031379	Tktl1|C79967|RP23-171N20.5|X A7.3|X|protein-coding	-2.66789520106075	0.00023525347725920697	3.2540257845369904
NM_001252401	Tle2|Grg2|mKIAA4188|-|10 C1|10|protein-coding	-2.61618454668822	0.00060098924538791	2.84145508050559
NM_146126	Sord|Sdh-1|Sdh1|Sodh-1|RP23-173H17.1|2 E5|2 60.59 cM|protein-coding	-2.59128384443474	0.0037423312414226703	2.0403415846191497
NM_009603	Chrne|AChrepsilon|Acre|nAChRE|DN-183N8.9|11 B3|11 43.14 cM|protein-coding	-2.59009469419496	0.00228031569670709	2.32124897980106
NM_001290641	Dab2ip|2310011D08Rik|AI480459|Aip1|mKIAA1743|RP23-4L24.1|2 B|2|protein-coding	-2.58082607527115	0.00181604299133308	2.31359058711308
NM_175696	Pianp|AI255183|AU067746|C530028O21Rik|Panp|-|6 F2|6|protein-coding	-2.50763765734879	0.00434217284613467	2.07203833401836
NM_008153	Cmklr1|ChemR23|DEZ|Gpcr27|mcmklr1|-|5 F|5|protein-coding	-2.50249435481657	0.000113135620243704	6.28323578141067
NM_007659	Cdk1|Cdc2|Cdc2a|p34<CDC2>|-|10 B5.3|10 36.07 cM|protein-coding	-2.49997126070899	0.00230700761619013	2.55235099842394
NM_020577	As3mt|2310045H08Rik|Cyt19|-|19|19 D1|protein-coding	-2.4782794615976296	0.000120383073334972	6.76961618750268
NM_008685	Nfe2|45kDa|NF-E2|p45|p45NFE2|p45nf-e2|-|15 F3|15 58.62 cM|protein-coding	-2.4503361991265096	0.00269218885146708	2.4412212976900496
NM_001252292	Mest|AA408879|AI256745|Peg1|121a|6 B1|6 12.53 cM|protein-coding	-2.3981636210302497	0.00252506563303611	2.66121865773418
NM_001160268	Plekha6|9530028L01Rik|AU042621|Pepp3|-|1 E4|1|protein-coding	-2.32975065613165	0.000863017388018041	4.42225024991023
NM_021302	Stk32c|PKE|Pkek|YANK3|MNCb-1563|7 F4|7|protein-coding	-2.32591283174982	0.00127975950837062	3.84482874122475
NM_007630	Ccnb2|CycB2|-|9 D|9|protein-coding	-2.26988392870121	0.00883288839007333	2.36520609125089
NM_001001885	Tmem151a|AW125688|Gm961|Tmem151|-|19 A|19|protein-coding	-2.21339187607199	0.00252506563303611	3.7529040878566895
NM_025563	2010012O05Rik|4930569L17Rik|AI413851|AI467257|-|19|19 D1|protein-coding	-2.12738081779727	0.00207947470064238	5.74996880810891
NM_010019	Dapk2|-|-|9 C|9 35.75 cM|protein-coding	-2.12605858623893	0.00230700761619013	5.21825985097106
NM_144797	Metrnl|9430048M07Rik|BC019776|RP23-274J5.3|11 E2|11|protein-coding	-2.1209449182878797	0.00456974655082476	3.72778528301423
NM_134250	Havcr2|TIM-3|Tim3|Timd3|RP23-248K2.7|11 B1.1|11|protein-coding	-2.0250801086961396	0.00593515118886485	4.22494907816509
NM_010950	Numbl|nbl|-|7 A3|7|protein-coding	-2.00705650759124	0.00844996040958108	3.7311142687915804
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	-2.0069379759657098	0.00597605429351715	4.436552342713861
NM_026988	Ptms|2610009E16Rik|-|6 F2|6|protein-coding	-1.97730316618065	0.005108020937475389	5.7829591857135
NM_198100	Tbkbp1|3110043L15Rik|ProSAPiP2|SINTBAD|RP23-81D2.2|11 D|11|protein-coding	-1.9154523160788601	0.00634657904754957	6.834027317645591
