Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logFC	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 FDR	RNA-LCMV-0d vs. RNA-LCMV-35d-rep2 logCPM
NM_001085518	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	-10.060918225598499	1.10382459252215e-31	5.78343072825475
NM_016894	Ramp1|9130218E19Rik|-|1 D|1 46.08 cM|protein-coding	-9.43241231663071	1.5616184207200599e-28	5.1561838485808
NM_028044	Cnn3|1600014M03Rik|C85854|Calpo3|-|3 G1|3|protein-coding	-9.05482487110891	1.20341393196996e-22	3.8685701819751297
NM_001166065	Gcnt4|C2gnt3|Gm279|Gm73|-|13 D1|13|protein-coding	-8.08460075110351	1.4008662909957502e-17	2.90523570391729
NM_009656	Aldh2|Ahd-5|Ahd5|-|5|5 F-G1|protein-coding	-7.867603683427	1.8823655721641698e-16	2.69065058024596
NM_001166625	Ccr9|A130091K22Rik|Cmkbr10|GPR-9-6|-|9 F|9 74.33 cM|protein-coding	-7.6671726366198705	1.94345426754829e-30	7.76587961212824
NM_010378	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	-7.655565025569099	2.07506654009998e-15	2.4814146494319598
NM_172546	Cnksr3|6820402C05|BC024086|Magi1|-|10 A1|10|protein-coding	-7.522834085937071	1.97941771939858e-18	3.2570031828588997
NM_009846	Cd24a|Cd24|HSA|Ly-52|nectadrin|-|10 B2|10 23.01 cM|protein-coding	-7.25906581892131	4.235320842727321e-17	2.9962319166286804
NM_027875	Syde1|1200008N06Rik|BB043000|mSYD1A|-|10 C1|10|protein-coding	-7.095312895280629	2.6304489937276497e-18	3.38635077665852
NM_010513	Igf1r|A330103N21Rik|CD221|D930020L01|IGF-1R|hyft|-|7 D1|7 37.27 cM|protein-coding	-7.09323727559378	4.1597181738879096e-22	4.35053634128566
NM_008399	Itgae|A530055J10|CD103|aM290|alpha-E1|alpha-M290|RP23-263M10.6|11 B4|11 45.22 cM|protein-coding	-7.01623257155113	3.09514241060274e-27	7.33144360926366
NM_175414	Tspan9|6720474K14Rik|9430079M16Rik|AU018597|-|6 F3|6|protein-coding	-6.97908340366517	1.16047562887663e-15	2.72017476529216
NM_001278161	Hbb-b1|AA409645|Hbb1|Hbbt1|Hbbt2|MommeD7|beta1|-|7 E3|7 54.85 cM|protein-coding	-6.958165924477901	1.54398491614821e-23	5.07562043827824
NM_001201391	Hbb-bs|Beta-s|Hbbt1|Hbbt2|-|7|7|protein-coding	-6.958165924477901	1.54398491614821e-23	5.07562043827824
NM_183319	Xkrx|A630026F04|RP23-182N4.4|X E3|X|protein-coding	-6.8447173627307105	4.9185307726764596e-20	3.84841640165271
NM_008417	Kcna2|Akr6a4|ENSMUSG00000074335|Gm10672|Kca1-2|Kv1.2|Mk-2|-|3 F2.3|3 46.61 cM|protein-coding	-6.824660763578839	1.1039941628218998e-23	5.38579011947432
NM_016956	Hbb-b2|AI036344|Hbb2|Hbbt2|beta2|-|7 E3|7 54.85 cM|protein-coding	-6.6483621988770105	5.13978581302817e-16	2.9455775801768
NM_008220	Hbb-bt|Beta-t|-|7|7|protein-coding	-6.6483621988770105	5.13978581302817e-16	2.9455775801768
NM_029935	Chst15|4631426J05Rik|BRAG|GalNAcS-6ST|MAd5|mKIAA0598|-|7|7 F4|protein-coding	-6.54797634409787	4.94089659533395e-21	4.53420300053824
NM_145933	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	-6.5017313925369	5.95231938453087e-25	7.50535255108818
NM_008076	Gabrr2|-|RP23-12I24.2|4 A5|4 14.64 cM|protein-coding	-6.388406423626571	9.72239464851973e-13	2.14120789038633
NM_008018	Sh3pxd2a|2310014D11Rik|AA589508|AI256723|AI413738|C230050L11|EG329070|Fish|Gm5098|Sh3md1|TSK5|Tks5|-|19|19 D2|protein-coding	-6.29431256058378	2.09888961303669e-22	5.7553410966155605
NM_011113	Plaur|Cd87|u-PAR|uPAR|-|7 A3|7|protein-coding	-5.88523632142756	2.59229193237048e-16	3.37721724628198
NM_007405	Adcy6|AC6|mKIAA0422|-|15|15 F|protein-coding	-5.86759094211954	3.4643658400965197e-20	5.43420288201229
NM_009721	Atp1b1|Atp4b|Atpb|Atpb-1|NKbeta1|-|1 H2.2|1 71.75 cM|protein-coding	-5.8029765725034705	2.4971772346475797e-21	7.04356272970558
NM_029723	Dapl1|2310032F03Rik|EEDA|RP23-151F21.4|2|2 C3|protein-coding	-5.80029869831995	5.38088112657207e-20	5.50493821253996
NM_027395	Basp1|2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22|-|15 B1|15|protein-coding	-5.788705052217019	1.4158703764016599e-14	2.8108883655045003
NM_001081462	Gtf2ird1|1700012P16Rik|BEN|Cream1|ESTM9|GTF3|Gtf2il|MusTRD1|Tg(Alb1-Myc)166.8Sst|WBSCR11|X83320|-|5 G2|5 74.55 cM|protein-coding	-5.77391726247341	3.40546934902423e-17	3.90820470044146
NM_010601	Kcnh3|AU019351|C030044P22Rik|Elk2|Kv12.2|Melk2|-|15 F3|15|protein-coding	-5.7491166982934905	1.25346642784016e-11	2.06733951943077
NR_027919	Bambi-ps1|-|-|2 E5|2|pseudo	-5.736943237386121	5.05525798607783e-20	5.682705539461829
NM_001001881	2510009E07Rik|AI194952|-|16 B1|16|protein-coding	-5.692263648965921	3.1690595717818803e-13	2.40713546874371
NM_022995	Pmepa1|2210418I02Rik|AW455466|Erg1.2|N4wbp4|Stag1|Tmepai|RP23-412O4.1|2 H3|2|protein-coding	-5.56326873422486	4.217568175668571e-17	4.235998609216351
NM_001289925	Egr3|Pilot|-|14 D2|14|protein-coding	-5.511222298016829	6.29752628167709e-18	4.765084845448429
NM_133687	Cxxc5|4930415K17Rik|-|18|18 B3|protein-coding	-5.5065908947747095	2.16012283232858e-18	5.21725053589038
NM_207105	H2-Ab1|AI845868|Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1|-|17 B1|17 17.98 cM|protein-coding	-5.35907270511631	1.14646406043172e-11	2.08507882306294
NM_178638	Tmem108|AI462967|B130017P16Rik|R74726|-|9 F1|9|protein-coding	-5.32521177308773	2.6256823463422703e-12	2.36127559060245
NM_007932	Eng|AI528660|AI662476|CD105|Endo|S-endoglin|RP23-17P12.4|2 B|2 22.09 cM|protein-coding	-5.3064945514929	3.2730166904992003e-18	5.856938994293291
NM_001080934	Slc16a5|A130015N09Rik|MCT 5|MCT 6|MCT5|RP23-392H19.4|11 E2|11|protein-coding	-5.20499116627071	1.18580237759662e-17	5.70849589350222
NM_144800	Mtss1|2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429|-|15 D1|15|protein-coding	-5.131750704566519	1.8823655721641698e-16	4.89491544434851
NM_207205	Igsf3|1700016K10Rik|2810035F16Rik|4833439O17Rik|mKIAA0466|-|3 F2.2|3 44.3 cM|protein-coding	-5.05247259603658	1.14646406043172e-11	2.352870642479
NM_145227	Oas2|Oasl11|-|5 F|5 60.64 cM|protein-coding	-5.04037632748512	5.522767463172869e-16	4.80629168702884
NM_029035	Spsb1|1110014L01Rik|4930422J18Rik|AI596360|AI854583|SSB-1|SSB1|RP23-169H13.1|4 E2|4|protein-coding	-5.0066988333094695	6.584459285906691e-14	3.50484880835042
NM_001114332	Slc16a10|2610103N14Rik|9830169E08|Mct10|PRO0813|TAT1|-|10 B1|10|protein-coding	-4.8894100194728	3.6649633894793e-15	4.61743507238018
NM_146260	Tmie|5131400L21Rik|Mm.87012|sr|-|9 F3|9 60.79 cM|protein-coding	-4.83823579119743	3.1690595717818803e-13	3.4407275141133797
NM_010145	Ephx1|AI195553|Eph-1|Eph1|mEH|-|1 H4|1 84.48 cM|protein-coding	-4.76644989403383	1.8715358248660396e-15	5.516307285651769
NM_027373	Afap1|2600003E23Rik|9630044L16Rik|AI848729|Afap|mKIAA3018|-|5|5 B1|protein-coding	-4.73929814668769	5.4893498655542297e-14	4.07498385826061
NM_009223	Snn|2810407J07Rik|AI848521|AW547286|-|16|16 A2|protein-coding	-4.699977187310349	6.1966756084321e-13	3.56780148105429
NM_053117	Pard6g|2410049N21Rik|Par6a|-|18 E3|18|protein-coding	-4.6952822732258	3.6647285613837e-12	3.1001339192483903
NM_175381	2700081O15Rik|AI255177|AI848741|AW742297|-|19 A|19|protein-coding	-4.61258760044252	1.64957265533012e-13	4.11565303374267
NM_013454	Abca1|ABC-1|Abc1|RP23-95M14.8|4 A5-B3|4 28.57 cM|protein-coding	-4.59211215908776	3.7218796780526704e-14	4.83903881927188
NM_010617	Kif13a|4930505I07Rik|mKIAA4109|-|13|13 B1|protein-coding	-4.54568778126145	4.70966054322529e-11	2.7207565363575
NM_001042605	Cd74|CLIP|DHLAG|HLADG|Ia-GAMMA|Ii|-|18 E1|18 34.41 cM|protein-coding	-4.5372297753868205	3.9416188668043803e-13	4.04354327310197
NM_178114	Amigo2|AI415330|AMIGO-2|AW208913|Ali1|-|15 F1|15|protein-coding	-4.49445911599902	1.03256609693629e-13	4.83444929662706
NM_028878	Slc6a19|4632401C08Rik|B<0>AT1|-|13 C1|13|protein-coding	-4.4861654219166605	2.8285831679981895e-14	5.63952892330701
NM_010577	Itga5|Cd49e|Fnra|VLA5|-|15 F3|15 58.9 cM|protein-coding	-4.47224265548183	1.82601973600653e-09	2.01615826714532
NM_009238	Sox4|AA682046|Sox-4|RP23-262C6.1|13 A3-A5|13 12.87 cM|protein-coding	-4.40891213131299	1.95554770828913e-12	3.86909891765678
NM_011374	St8sia1|9330109E03Rik|GD3S|Sia-T|Siat8|Siat8a|-|6 G3|6 74.78 cM|protein-coding	-4.39152712464254	3.84254261698573e-14	6.63479612651507
NM_001081426	Dip2c|2900024P20Rik|9630044M06|mKIAA0934|-|13 A1|13|protein-coding	-4.35972950710803	6.198287996196479e-10	2.41021442340571
NM_026639	Art4|4432404K01Rik|ARTC4|DO|DOK1|-|6 G1|6 66.72 cM|protein-coding	-4.34205302050957	5.373044842706731e-12	3.69546742290295
NM_133918	Emilin1|5830419M17Rik|AW229038|BB105748|EMILIN-1|gp115|-|5 B1|5|protein-coding	-4.337084170140789	3.5791993451566903e-12	3.9031028788872795
NM_029933	Bcl9|2610202E01Rik|8030475K17Rik|A330041G23Rik|Gm130|-|3 F2|3|protein-coding	-4.287192082706141	1.0511541688199e-12	4.72068764260462
NM_022888	Folr4|0910001L11Rik|C86255|Folbp3|Juno|-|9 A2|9|protein-coding	-4.1076602443365005	3.1512049876815196e-09	2.43078260900779
NM_013569	Kcnh2|AI326795|ERG1|LQT|Lqt2|M-erg|Merg1|merg1a|merg1b|-|5 A3|5 10.94 cM|protein-coding	-4.09497113079879	6.4250741618628e-10	2.9124060938102203
NM_011594	Timp2|D11Bwg1104e|Timp-2|RP23-394O9.2|11 E2|11 83.09 cM|protein-coding	-4.06984424869219	2.04650822513323e-12	5.963100795759019
NM_001081212	Irs2|Irs-2|-|8 A1.1|8 5.35 cM|protein-coding	-4.02292045417361	2.5352874658873398e-11	4.298515873380549
NM_001270475	Mical3|C130040D16Rik|Mical-3|mKIAA1364|-|6 F1|6|protein-coding	-4.02149614932904	2.9460528469768996e-10	3.21068121604123
NM_009801	Car2|AI131712|CAII|Ca2|Car-2|Ltw-5|Lvtw-5|-|3 A1|3 3.23 cM|protein-coding	-4.00099431673869	1.07063608938262e-09	2.98265984007935
NM_022030	Sv2a|AI746429|mKIAA0736|-|3|3 F2|protein-coding	-3.9538936802341604	9.6089153839018e-09	2.40064476109648
NM_011976	Sema4g|AI507908|AW554132|-|19 C3|19|protein-coding	-3.9410701677570295	7.78196602423999e-09	2.49349479596572
NM_025664	Snx9|2700073N08Rik|SDP1|SH3PX1|-|17 A1|17 3.51 cM|protein-coding	-3.93323509190985	4.786378451489071e-09	2.6753635313162003
NM_011770	Ikzf2|A730095J18Rik|Helios|Zfpn1a2|Znfn1a2|-|1 C3|1|protein-coding	-3.9325645649126	3.6771159314889296e-11	4.540288817768889
NM_001004176	Maml3|AV234550|BC049812|Mam-2|mKIAA1816|-|3 C|3|protein-coding	-3.9035982398380695	3.86002029431865e-10	3.54347645033289
NM_008976	Ptpn14|C130080N23Rik|OTTMUSG00000022087|PTP36|-|1 H6|1 95.03 cM|protein-coding	-3.82835113437167	1.1737378996969999e-09	3.3228556468212496
NR_040432	Gm15708|OTTMUSG00000025583|-|5|5 83.27 cM|ncRNA	-3.7987292667118298	1.03287040882359e-07	2.02223822618365
NM_194344	Sh3tc1|4631428G15|BC024909|-|5 B3|5|protein-coding	-3.7663476773171602	9.00182883692842e-08	2.1148079771990003
NM_008321	Id3|Hlh462|Idb3|bHLHb25|RP23-118A9.1|4 D3|4 68.34 cM|protein-coding	-3.73260927999659	1.2698402925728698e-10	5.16890701865729
NM_010559	Il6ra|CD126|IL-6R|Il6r|-|3 F1|3 39.19 cM|protein-coding	-3.72401990046019	5.1427018714649e-11	7.16513409661834
NM_001206367	Gsn|ADF|RP23-186B18.2|2 B|2 23.5 cM|protein-coding	-3.6990390389449703	8.916937986824869e-11	6.400963547321809
NM_026641	Ift80|4921524P20Rik|Wdr56|mKIAA1374|-|3|3 E2|protein-coding	-3.6727993034889703	1.24457881711648e-10	6.22479750313128
NM_001267622	Ttc28|2310015L07Rik|6030435N04|AI428795|AI851761|BC002262|TPRBK|-|5 F|5|protein-coding	-3.6007486344727897	4.59681667464828e-10	5.28834944380808
NM_001035533	Akap2|AA959716|AI649048|Akap-2|Akap-kl|B230340M18Rik|Prka2|RP23-334A5.1|4 B3|4|protein-coding	-3.5703876118232203	9.64810111630076e-10	4.79484207559741
NM_010560	Il6st|5133400A03Rik|AA389424|BB405851|CD130|D13Ertd699e|gp130|-|13 D2.2|13 63.73 cM|protein-coding	-3.5662524396758197	2.26314670721226e-10	8.39730082893595
NM_009667	Ampd3|-|-|7 E2-E3|7 57.85 cM|protein-coding	-3.56577646855909	5.428227175206921e-09	3.60629228213555
NM_007982	Ptk2|FAK|FRNK|Fadk|mKIAA4203|p125FAK|-|15 D3|15 33.94 cM|protein-coding	-3.53045463783195	5.58606226134321e-08	2.6906504118580497
NM_001123327	Qser1|4732486I23Rik|AI502974|RP24-297H17.9|2 E2|2|protein-coding	-3.4461070284152298	1.74954321789543e-08	3.53311853344415
NM_001290758	Tlr7|-|RP23-139P21.3|X F5|X|protein-coding	-3.4419812073822795	8.91073238409919e-08	2.80010460050321
NM_019731	Nme4|2610027N22Rik|2810024O08Rik|5730493H09Rik|NM23-M4|Nm23M4|-|17|17 B1|protein-coding	-3.43766961175688	7.72328293229732e-07	2.13027175697496
NM_007719	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	-3.41564684066075	1.16538553623833e-09	8.74547801548607
NM_173744	Tdrp|2610019F03Rik|-|8 A1.1|8|protein-coding	-3.4062494134603196	1.6407223285442998e-09	7.110210822028071
NM_001253857	Tet1|2510010B09Rik|AA517754|BB001228|Cxxc6|D10Ertd17e|LCX|mKIAA1676|-|10 B4|10 32.48 cM|protein-coding	-3.39440776399876	6.32294562606527e-09	4.66562859359392
NM_011182	Cyth3|AI648983|ARNO3|CLM3|Grp1|Pscd3|-|5 G2|5 82.36 cM|protein-coding	-3.38314407157156	8.575485742213308e-09	4.55731107873749
NM_001198823	App|Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp|-|16 C3-qter|16 46.92 cM|protein-coding	-3.31299437713893	3.0360428738564e-08	3.96925864969684
NM_010118	Egr2|Egr-2|Krox-20|Krox20|NGF1-B|Zfp-25|Zfp-6|-|10 B5|10 34.96 cM|protein-coding	-3.31275894292157	5.8207664361764205e-08	3.5485696900845802
NM_001029868	Pdzd4|B230341P03|D130075J17Rik|Kiaa1444-hp|LU1|PDZRN4L|Pdzk4|Pdzrnk4l|Xlu|RP23-373N8.6|X A7.3|X|protein-coding	-3.2947662664582302	2.37161042595923e-06	2.09314873462449
NM_001008791	Whrn|1110035G07Rik|AW122018|AW742671|C430046P22Rik|Dfnb31|wi|RP23-340H1.8|4 C1|4 33.97 cM|protein-coding	-3.2942797290318597	1.2628292620687999e-06	2.33543928247629
NM_001162532	Fam174b|-|-|7|7|protein-coding	-3.28902899377218	4.424792381357679e-07	2.60163154383215
NM_008908	Ppic|CyP-20c|-|18 D1|18|protein-coding	-3.20294777756464	8.12947006384344e-08	4.05249134631286
NM_001204166	Rapgef4|1300003D15Rik|5730402K07Rik|6330581N18Rik|EPAC 2|Epac-2|Epac2|mKIAA4040|RP23-386I18.1|2 C3|2|protein-coding	-3.18452883465252	2.7123825139365797e-08	5.57243718801791
NM_011861	Pacsin1|A830061D09Rik|H74|mKIAA1379|syndapin|-|17 B1|17|protein-coding	-3.15236233561324	4.01952790106881e-08	5.387691183734599
NM_011346	Sell|AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1|-|1 H2.2|1 71.37 cM|protein-coding	-3.14286089794181	2.13917954607066e-08	9.07834514981258
NM_198297	Trat1|C030046M14Rik|Tcrim|Trim|-|16 B5|16|protein-coding	-3.1074004313358503	1.1948583502235802e-07	4.40662301261092
NM_028971	Lrrc71|4933430H15Rik|-|3 F1|3|protein-coding	-3.02393878987826	2.53491116217143e-06	2.7904540969000298
NM_001003912	Arhgef11|B930073M02|E130307F09|PDZ-RhoGEF|Prg|RhoGEF|mKIAA0380|-|3 F1|3|protein-coding	-2.99921738825011	2.83389677898593e-07	4.70805838055983
NM_177083	B430306N03Rik|Treml6|-|17 C|17|protein-coding	-2.95534532359804	5.8711367918411695e-06	2.58540895052851
NM_021568	Pcbp3|AlphaCP-3|-|10|10 B5.1-B5.3|protein-coding	-2.9403262962350203	6.60400648775981e-06	2.5722773285166602
NM_026418	Rgs10|2310010N19Rik|-|7 F3|7|protein-coding	-2.9384640385346605	2.69393963497847e-07	5.837670267923929
NM_177741	Ppp1r3b|6430576E21|AW821953|GL|PTG|-|8 A4|8|protein-coding	-2.90127517069661	3.29404693370085e-05	2.0618313264907
NM_008206	H2-Oa|H-2Oa|-|17 B1|17 17.98 cM|protein-coding	-2.88718900719358	1.7825238847004398e-06	3.7933861179287303
NM_001244916	Sall2|AI225809|AW559097|Msal-2|Sal-2|mKIAA0360|p150(Sal2)|-|14|14 B-C1|protein-coding	-2.86826087281923	9.16086525196504e-06	2.74316493389663
NM_023320	Plekho1|2810052M02Rik|CKIP-1|Ckip1|JZA-20|Jza2|-|3|3 F2|protein-coding	-2.8681206089566804	1.06503181352139e-06	4.480350024846049
NM_178615	Rgmb|1110059F19Rik|DRAGON|-|17 A2|17|protein-coding	-2.83477900146407	3.6227262653889198e-06	3.44353672070709
NM_011820	Ggt5|AI551243|GGL|GGT-REL|Ggtla1|-|10 C1|10|protein-coding	-2.8304604419770802	1.8604728377915e-06	4.1299988514830295
NM_025427	Rgcc|1190002H23Rik|Rgc-32|Rgc32|-|14 D3|14|protein-coding	-2.82671679358137	9.312468746118309e-07	5.5173370670429405
NM_027990	Lypd6b|2310010M24Rik|AW049525|RP23-190C17.1|2 C1.1|2|protein-coding	-2.80397205261282	1.5735242100648501e-06	4.86684783842741
NM_177386	Sfmbt2|D2Wsu23e|D330030P06Rik|RP23-6M16.3-01|2 A1|2 7.81 cM|protein-coding	-2.79347940865531	9.64230316880106e-06	2.91635472310731
NM_144549	Trib1|A530090O15Rik|TRB-1|Trb1|-|15 D1|15|protein-coding	-2.79034729741368	3.27443919466672e-06	4.01201746257245
NM_001029890	Mex3a|2700083E18Rik|Gm411|Rkhd4|-|3 F1|3|protein-coding	-2.7889558409717403	5.57297241174335e-06	3.37743032883991
NM_133220	Sgk3|2510015P22Rik|A330005P07Rik|Cisk|fy|fz|-|1 A2|1 2.08 cM|protein-coding	-2.783735033591	2.10315435331949e-06	4.63379667368051
NM_001081981	Nfix|CTF|NF-I/X|NF1-X|NFI-X|-|8 C1-C2|8 41.02 cM|protein-coding	-2.75885093408315	4.83661061641758e-06	3.74343176282862
NM_183024	Raver2|A430091O22Rik|RP23-336G7.1|4 C6|4|protein-coding	-2.7338713570282	5.4999070574899e-06	3.99679086627028
NM_013883	Scmh1|AI315320|AI851618|Scml1|Scml3|RP23-106K5.1|4 D1-D2|4 56.52 cM|protein-coding	-2.71641500875942	6.55356003947244e-06	3.87790722129266
NM_011197	Ptgfrn|4833445A08Rik|AU042434|CD9P-1|FPRP|Trim45|DN-358O3.4|3|3 F3|protein-coding	-2.6861465654778702	3.99410511769422e-05	2.669842449102
NM_009984	Ctsl|1190035F06Rik|Ctsl1|MEP|fs|nkt|-|13 B3|13 33.26 cM|protein-coding	-2.66057569067316	1.63642223717337e-05	3.3187663704622
NM_172814	Lrp12|AI848829|C820005L12Rik|LRP-12|-|15 B3.1|15|protein-coding	-2.65335582543073	1.66959390722102e-05	3.3379064883162304
NM_008635	Map7|E-MAP-115|MAP-7|Mtap7|R75000|mshi|mste|ste|-|10 A3|10 9.75 cM|protein-coding	-2.6119519380065697	9.25411488527756e-06	4.7102418171846
NM_001033405	Treml2|AW049306|Gm750|Tlt2|-|17 C|17|protein-coding	-2.53939432107102	9.43423518649835e-06	7.17482623715927
NM_001128146	5830411N06Rik|Scart2|-|7 F4|7|protein-coding	-2.53314960591515	1.84016580005541e-05	4.62392241735888
NM_028394	Hspb11|2900042B11Rik|IFT25|-|4 C7|4|protein-coding	-2.5297756758234997	0.00017150537085893898	2.3649611678502303
NM_001289895	Tns1|1110018I21Rik|1200014E20Rik|AI648117|E030018G17Rik|E030037J05Rik|Tns|-|1 C3|1 38.17 cM|protein-coding	-2.51696512429921	3.07788509741921e-05	3.99851111017448
NM_175482	Usp28|9830148O20Rik|AU022237|mKIAA1515|-|9 A5.3|9|protein-coding	-2.5103629428956	1.34641715086514e-05	6.347005594379669
NM_010807	Marcksl1|AL022768|AW215397|AW536807|D4Bc1|F52|MacMARCKS|Macs2|Macs3|Mlp|Mrp|RP23-209C6.6|4 D2.2|4 63.26 cM|protein-coding	-2.50311836802895	0.000292818303617701	2.09372262175233
NM_001146275	Iigp1|2900074L10Rik|AI046432|AW111922|Ifgga1|Iigp|Irga6|-|18 D3|18|protein-coding	-2.49476660851525	0.000103003130045582	2.92766531071225
