Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logFC	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d FDR	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logCPM
NM_144797	Metrnl|9430048M07Rik|BC019776|RP23-274J5.3|11 E2|11|protein-coding	-2.30355416490639	0.000322329681103419	3.68693376785075
NM_029861	Cnrip1|1500041B16Rik|3110054C06Rik|5330437A18Rik|AI854501|C2orf32|RP23-348N2.3|11|11 A3.1|protein-coding	-2.2950245905189504	0.00176125243472835	2.16908356355047
NM_011663	Zrsr1|D11Ncvs75|Irlgs2|SP2|U2af1-rs1|U2afbp-rs|RP23-242C19.4|11 A3.2|11 14.24 cM|protein-coding	-2.2914241300302596	0.00017365446245458502	5.3040809038502905
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	-2.28092311787654	0.000151956092786639	6.73661278597597
NM_027085	Clic3|2300003G24Rik|RP23-47P18.10-003|2 A3|2|protein-coding	-2.27688503287211	0.0018576714415398	2.20205572040642
NM_133667	Pdk2|-|RP23-112C19.5|11 D|11 59.01 cM|protein-coding	-2.2467008905093904	0.000717164913374723	3.06156210857972
NR_028363	AA465934|-|-|-|ncRNA	-2.24260436154351	0.00248070425001401	2.12660747673154
NM_030890	Prrt1|Bat-4|Bat4|D17H6S54E|DSPD1|G5b|NG5|ORF31|RP23-24A13.1|17 B1|17|protein-coding	-2.23072498008432	0.00044007055937402	4.12581475438953
NM_183201	Slfn5|AI956840|RP23-392I13.5|11 C|11|protein-coding	-2.21631167015555	0.0007094343046455111	3.41475675987201
NM_001252437	Mgrn1|2610042J20Rik|mKIAA0544|md|nc|-|16 A1|16 2.48 cM|protein-coding	-2.19756101732036	0.000526488891651116	4.24735069722372
NM_013541	Gstp1|GstpiB|-|19 A|19 3.75 cM|protein-coding	-2.18783821874618	0.00034487668076450096	6.03456966648822
NR_033514	2310015A10Rik|5330419I17Rik|-|12|12|ncRNA	-2.18491907081258	0.0009297457259010779	3.3087791038892598
NM_001195537	Smpd5|ENSMUSG00000071724|Gm10345|MA-nSMase|mCG_22096|15 D3|15|protein-coding	-2.18462595162115	0.000459790145059346	4.7896446516977695
NM_177056	Tmem198|A230078I05Rik|Tmem198-1|Tmem198a|-|1 C4|1|protein-coding	-2.1789765127395	0.00215266542576743	2.5289553115926804
NM_177374	Trmt61a|6720458F09Rik|AI606093|Gcd14|Trm61|-|12 F1|12|protein-coding	-2.17056196663731	0.0007580436120127981	3.86980455307208
NM_011026	P2rx4|AI504491|AW555605|D5Ertd444e|P2X4|-|5 F|5 62.53 cM|protein-coding	-2.17050504705022	0.00414064030773313	2.01940715027863
NM_178149	Pik3ip1|1500004A08Rik|5830455E04Rik|Crkd|Hgfl|RP23-191E3.6|11 A1|11|protein-coding	-2.15762966094329	0.00045332776002825193	5.749833228128869
NR_040331	E130215H24Rik|-|-|2|2|ncRNA	-2.15505813855052	0.00168549861979716	2.76810362108189
NR_106194	Mir8114|mmu-mir-8114|-|1 G2|1|ncRNA	-2.14773472550794	0.00156038808329616	2.92954069674823
NM_001077638	Prmt2|AI504737|Hrmt1l1|-|10 C1|10 38.74 cM|protein-coding	-2.1329624384338897	0.00129394532419173	3.3274602987751503
NM_001013381	Rsad1|B430319G23|BC056485|RP23-402D13.3|11 D|11|protein-coding	-2.12415652349738	0.00215266542576743	2.68289985975537
NM_001080780	Ret|PTC|RET51|RET9|c-Ret|-|6 E3-F1|6 55.86 cM|protein-coding	-2.11509623415078	0.00206972355632186	2.8220814199938
NM_029001	Elovl7|9130013K24Rik|AI840082|-|13 D2.1|13|protein-coding	-2.11000125739626	0.0010691654619472	4.02759333975362
NM_001001884	Nckap5l|C230021P08Rik|-|15 F1|15|protein-coding	-2.09666153894683	0.000859858964298752	4.937620711218741
NM_009744	Bcl6|Bcl5|-|16 B1|16 15.26 cM|protein-coding	-2.09391742432378	0.00112157558203001	4.174070513960491
NM_130878	Cdhr1|Pcdh21|Prcad|mKIAA1775|-|14 B|14|protein-coding	-2.0870907914700902	0.00280702883321333	2.65327539699715
NR_037243	Mir3082|mmu-mir-3082|-|17|17 12.93 cM|ncRNA	-2.08690877837968	0.00517327034239742	2.22587668139675
NM_027829	Izumo4|9030607L17Rik|AI550407|-|10 C1|10|protein-coding	-2.0749993359396597	0.000944800086250836	5.06525464255365
NM_025611	Cul7|2510004L20Rik|AA409809|C230011P08Rik|p185|p193|-|17 C|17|protein-coding	-2.0713819980134	0.00260352832240918	2.89442700471196
NR_001277	Snord33|Rnu33|U33|-|7 B4|7|snoRNA	-2.06088065028379	0.0046305075091868705	2.43459589280137
NM_011438	Sox12|2010205A02Rik|RP23-396N8.5|2 G3|2|protein-coding	-2.05673691481651	0.00406381385625594	2.62913041813561
NM_001115154	Samd3|Gm623|-|10 A4|10|protein-coding	-2.05383707504483	0.00133730756108907	4.3239250467343595
NM_011584	Nr1d2|RVR|Rev-erb|-|14 A2|14|protein-coding	-2.04740576937871	0.00104194142638562	5.6302839692430995
NM_008841	Pik3r2|p85beta|-|8 B3.3|8 34.15 cM|protein-coding	-2.04720769622756	0.0024158009093755398	3.2185181552612696
NM_178743	Slc26a11|F630021I08Rik|RP23-25M3.3|11 E2|11|protein-coding	-2.04037296346341	0.00140193371252684	4.50836353368491
NR_003517	Pisd-ps1|-|-|11 A1|11|pseudo	-2.03876494163798	0.000940655182651118	7.640032362714901
NM_053190	S1pr5|Edg8|S1P5|lpB4|-|9|9 A4|protein-coding	-2.0334933171353002	0.000944800086250836	9.43907543617069
NM_001099328	Zfp831|ENSMUSG00000050600|OTTMUSG00000017459|RP23-45P4.1|2 H4|2|protein-coding	-2.0324686534409198	0.00110097474060779	6.136890027039009
NM_017376	Tef|2310028D20Rik|-|15 E1|15 38.25 cM|protein-coding	-2.02603764060296	0.00128588859040083	5.38551937103954
NM_145500	Ubtd1|BC016129|-|19 C3|19|protein-coding	-2.02591304901887	0.0038920954611008796	2.69428461508353
NM_173425	Fam124b|A830043J08Rik|-|1 C4|1|protein-coding	-2.02490358218586	0.00680135140518413	2.25746046967091
NM_026741	Zfp579|1110003A17Rik|Znf579|-|7 A1|7|protein-coding	-2.0093109316985904	0.00207496150988329	4.15919031019118
NM_007483	Rhob|AA017882|Arh6|Arhb|-|12 A1.1|12|protein-coding	-2.00679610107546	0.0018083982275521198	4.473205423520571
NM_028538	1700049G17Rik|AV321011|BB026409|-|7 A3|7|protein-coding	-2.00600582801592	0.00406381385625594	2.81647013149924
NM_019968	Arl10|Arl10a|Arm1|-|13 B1|13|protein-coding	-2.0033258470929303	0.00823018705973272	2.16001250715061
NM_146137	Amigo1|Amigo|ali2|RP23-89M15.6|3 F2.3|3|protein-coding	-1.99277440688874	0.0022307610857512897	4.2268496663209705
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	-1.99197913879495	0.00126987272903035	13.8420306848381
NM_001289740	Mturn|2410066E13Rik|AI448550|B230212L03Rik|-|6 B3|6|protein-coding	-1.9876972524384697	0.0017993473583758101	5.0124684969772195
NR_046233	Rn45s|-|-|-|rRNA	-1.98477396255854	0.0013371369941265802	11.7195225990006
NM_015800	Crim1|AU015004|-|17 E2-E3|17|protein-coding	-1.9842306895023	0.00154256542050726	6.3389694442726805
NM_010234	Fos|D12Rfj1|c-fos|cFos|-|12 D2|12 39.7 cM|protein-coding	-1.9831362927868799	0.00144225564027437	7.05562198335312
NM_198105	Fam120c|D930001I21Rik|ORF34|RP23-105P9.2|X|X F2|protein-coding	-1.97288282451401	0.0034236700973157897	3.48617990676533
NM_011798	Xcr1|Ccxcr1|Gpr5|mXcr1|-|9 F4|9 74.71 cM|protein-coding	-1.95630703186378	0.0052094991350053	2.87888536003968
NM_026875	Ypel3|0610043B10Rik|1190001G19Rik|Suap|-|7 F3|7|protein-coding	-1.94903819820945	0.0018319860766085102	7.50451266731601
NM_178060	Thra|6430529J03Rik|AW259572|Erba|Nr1a1|Rvr|T3R[a]|T3Ralpha|Thra1|Thra2|RP23-395E10.6|11 D-E|11 62.58 cM|protein-coding	-1.94699192994954	0.00639554674063744	2.573175322149
NM_008043	Frat1|AW060382|-|19 C3|19 35.3 cM|protein-coding	-1.94640005448352	0.0025308306248692197	4.87968304775213
NM_025718	Dnase1l2|4733401H14Rik|-|17 A3.3|17|protein-coding	-1.94190230106557	0.00481208597261812	3.1352314585179197
NM_207220	Gpr137|AI428855|-|19 A|19|protein-coding	-1.94125874896532	0.00452299352079187	3.2890278533261204
NM_146019	Chd3|2600010P09Rik|AF020312|Chd7|Prp7|Prp9-1|RP23-26L6.13-001|11 B3|11|protein-coding	-1.9228964362999401	0.0021410474983433398	8.89235124799263
NM_010630	Kifc2|-|-|15 D-E|15 36.23 cM|protein-coding	-1.91386459866862	0.0042096608691456205	3.90707020394373
NM_133206	Znrf1|B830022L21Rik|Rnf42|Zrfp1|nin283|-|8 E1|8|protein-coding	-1.90175636791874	0.00281401510821084	6.29157864434556
NM_025451	Camk2n1|1810006K23Rik|AI848599|AI891706|RP23-25C1.11-001|4 D3|4|protein-coding	-1.89978989707883	0.0036471133514872295	4.56135207360183
NM_007864	Dlg4|Dlgh4|PSD-95|PSD95|SAP90|SAP90A|RP23-172M21.9|11|11 B4|protein-coding	-1.89066964818088	0.00403195890335798	4.43864591925886
NM_026797	Dbndd2|1110017A21Rik|2900022J10Rik|AU041050|AW048677|D2Bwg0891e|Nkip|R74724|RP23-140D14.3|2 H3|2 85.17 cM|protein-coding	-1.8896316986696202	0.0052094991350053	3.7002686446463597
NM_178600	Vkorc1|D7Wsu86e|-|7 F3|7 69.81 cM|protein-coding	-1.87140679061468	0.005134880582812511	4.1311939994130995
NM_011897	Spry2|sprouty2|-|14 E2.3|14 56.16 cM|protein-coding	-1.8531891403923402	0.00721783728221692	3.3924406524298596
NM_008421	Kcnc1|C230009H10Rik|KShIIIB|KV4|Kcr2-1|Kv3.1|NGK2|Shaw|-|7 B4|7 30.1 cM|protein-coding	-1.8522928199419701	0.00990091409097164	2.72250327544654
NM_010695	Lcn4|A630045M08Rik|Vnsp2|RP23-125H15.4|2 A3|2|protein-coding	-1.8452043044598099	0.00593863883571805	4.08100297782811
NM_010591	Jun|AP-1|Junc|c-jun|RP23-135A21.5|4 C5-C7|4 43.34 cM|protein-coding	-1.8438360470080901	0.0037572846210996796	8.08645337451808
NM_029348	Zbtb4|2310026P19Rik|9230111I22Rik|mKIAA1538|RP23-422L16.16|11|11 B4|protein-coding	-1.8372314164856898	0.00457270517483615	5.6197245098960495
NM_145482	Setd4|AY037804|C21orf18|ORF21|-|16 C4|16|protein-coding	-1.83259337040542	0.007825180201229541	3.51558486300282
NM_153459	Dusp7|AU015694|Mkpx|Pyst2|-|9 F1|9|protein-coding	-1.8227922627015098	0.0048567263769499	5.973782980074629
NM_183264	Tespa1|5830405N20Rik|A430001F24Rik|AI450549|-|10 D3|10|protein-coding	-1.8144043159446401	0.00595071282180304	4.776235264433151
NM_134009	Ncln|3100002P13Rik|AW120537|-|10 C1|10|protein-coding	-1.8116349760043702	0.004635300479584379	8.41620689255244
NM_008507	Sh2b3|AI429800|Lnk|-|5 F|5 61.99 cM|protein-coding	-1.8105897935308601	0.00572110965039253	5.15143175625638
NM_133914	Rasa4|AA793972|AW112107|BB079060|CAPRI|GAPL|-|5 G2|5|protein-coding	-1.79007154128174	0.00782617621613783	4.13520802126077
NM_013630	Pkd1|PC1|mFLJ00285|-|17 A3.3|17 12.4 cM|protein-coding	-1.7888486677515802	0.00549074751035025	7.467982943967691
NM_001042727	Rarg|Nr1b3|RAR-gamma|RARD|RARgamma2|-|15 E-F3|15 57.4 cM|protein-coding	-1.783972470188	0.007305655935282559	4.70312577695661
NM_133350	Mapre3|AI790651|EB2|EB3|-|5 B1|5|protein-coding	-1.7804267332198602	0.00990091409097164	3.6289286254746496
NM_008064	Gaa|E430018M07Rik|RP23-13O17.5|11 D-E|11 83.35 cM|protein-coding	-1.7685898091888899	0.00710218662389902	5.315718509535599
NM_001109690	Phf21a|80kDa|Bhc|Bhc80|D030065N23Rik|PFTF1|RP23-316M14.1|2 E1|2|protein-coding	-1.7662896319028798	0.006258548701576479	7.091389618394031
NM_001290416	Eps8l1|2310051G19Rik|4632407K17Rik|AW060268|DRC3|EPS8R1|-|7 A1|7|protein-coding	-1.7657610662688201	0.008414319154310429	4.4571472617281795
NM_026346	Fbxo32|4833442G10Rik|AI430017|ATROGIN1|Gm20361|MAFbx|-|15|15 D2|protein-coding	-1.7651988058854602	0.00773431123287937	4.91559156056545
NM_008162	Gpx4|GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx|-|10 C1|10 39.72 cM|protein-coding	-1.76019089115405	0.00927601776213837	4.13083370510395
NM_178220	Arrb1|1200006I17Rik|AW208571|G430100A01Rik|-|7 E2|7 54.09 cM|protein-coding	-1.7586724534561002	0.00860301292425118	4.5238662757215105
NM_019990	Stard10|AV048538|CGI-52|NY-C0-28|PC-TP2|PCTP2|Pctpl|Sdccag28|SdccagG28|TISP-81|-|7 E3|7|protein-coding	-1.75456268123912	0.00665608728405484	7.588924253626139
NM_016801	Stx1a|HPC-1|-|5 G2|5|protein-coding	-1.7529966714709198	0.00937043494434045	4.257805036569721
NM_021604	Agrn|Agrin|nmf380|RP23-139J18.2|4 E2|4 88.55 cM|protein-coding	-1.7348348088194998	0.009890132595490491	4.68411569139897
