Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d logFC	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d FDR	KLRGlo-LCMV-12d vs. KLRGlo-LCMV-7d logCPM
NM_018805	Hs3st3b1|3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B|RP23-407M20.2|11 B3|11 39.47 cM|protein-coding	-2.4773754861325403	5.13219210059945e-05	5.55605282850192
NM_054040	Tulp4|1110057P05Rik|2210038L17Rik|Tusp|-|17 A1|17 3.72 cM|protein-coding	-2.47323436835384	0.000193537497126081	3.4129087643340896
NM_010389	H2-Ob|A-beta-2|A-beta2|H-2Ab|H-2I|H-2Ob|H2-Ab|H2-Ab2|H2-IAb2|Ob|-|17 B1|17 17.98 cM|protein-coding	-2.45963012257507	0.000212727201894628	3.4014292217211604
NM_001159883	Dnajb2|2700059H22Rik|Dnajb10|Hsj1|mDj8|-|1|1|protein-coding	-2.45660156536095	0.00029831987175522797	3.19563075452907
NM_001114339	Pank1|Pank|Pank1b|-|19 G1-G3|19|protein-coding	-2.43749204725376	0.000618739682936168	2.73650814396774
NM_199449	Zhx2|Afr-1|Afr1|Raf|mKIAA0854|-|15 D1|15 24.01 cM|protein-coding	-2.41246532756595	9.37932299379443e-05	5.42372721126212
NM_001042727	Rarg|Nr1b3|RAR-gamma|RARD|RARgamma2|-|15 E-F3|15 57.4 cM|protein-coding	-2.40446902339806	0.000133801509833272	4.749224243567911
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	-2.38617196599699	0.000103276128581204	5.885165288074759
NM_177588	Thnsl1|AW413632|RP23-442K5.2|2 A3|2|protein-coding	-2.37432575602885	0.0023788482558177	2.1004098786234002
NM_178741	Klhl8|2310001P09Rik|D5Ertd431e|AL731554.1|5 E5|5 50.45 cM|protein-coding	-2.3738075230810898	0.000949455192945592	2.6459626695025498
NM_145500	Ubtd1|BC016129|-|19 C3|19|protein-coding	-2.29906999687058	0.00162074802393988	2.6938088834224505
NM_011584	Nr1d2|RVR|Rev-erb|-|14 A2|14|protein-coding	-2.2915880194184597	0.000254544993986421	5.48903949428854
NM_011663	Zrsr1|D11Ncvs75|Irlgs2|SP2|U2af1-rs1|U2afbp-rs|RP23-242C19.4|11 A3.2|11 14.24 cM|protein-coding	-2.27390445087234	0.000248743992292491	6.21505777673122
NM_174854	Disc1|-|RP23-368K3.1|8 E2|8 73.26 cM|protein-coding	-2.26841268826596	0.00479198410324682	2.0680332531431698
NM_013541	Gstp1|GstpiB|-|19 A|19 3.75 cM|protein-coding	-2.2623782658215896	0.00025677207666397205	6.57538274060543
NR_037224	Mir3064|mmu-mir-3064|-|11|11 70.02 cM|ncRNA	-2.2497376558286004	0.000811227332774684	3.75633039862
NM_198000	1700001O22Rik|1700113K14Rik|4930549G18Rik|RP23-221O14.1|2 B|2|protein-coding	-2.24919112227593	0.000823007753315783	3.6538150211408698
NR_033514	2310015A10Rik|5330419I17Rik|-|12|12|ncRNA	-2.24090046507017	0.000958063453032949	3.4183467591468197
NM_001013381	Rsad1|B430319G23|BC056485|RP23-402D13.3|11 D|11|protein-coding	-2.22560227134114	0.0012032764242618699	3.3425191060046897
NM_010695	Lcn4|A630045M08Rik|Vnsp2|RP23-125H15.4|2 A3|2|protein-coding	-2.18938142239187	0.0006698720391642719	4.98415060574875
NM_001256107	Mib2|2210008I11Rik|Zzank1|skd|RP23-183D11.7|4 E2|4|protein-coding	-2.18698182412663	0.000468896178350488	6.64980806691056
NM_026116	Bbs2|2410125H22Rik|AI447581|-|8 C5|8|protein-coding	-2.1723449574991798	0.00162074802393988	3.40303811120341
NM_001267796	Igip|6330403M23Rik|-|18 B2|18|protein-coding	-2.13405949665548	0.0049023278729732	2.45045464135588
NR_003517	Pisd-ps1|-|-|11 A1|11|pseudo	-2.08569673218522	0.000942470828339047	7.69725314469203
NM_153122	Oplah|1700010G02Rik|-|15 D3|15|protein-coding	-2.0659297107522603	0.0022579484008985197	4.13688438346456
NM_177715	Kctd12|AU046135|AW538430|Pfet1|Pfetin|-|14 E2.3|14|protein-coding	-2.04625186405626	0.00451332536499775	3.0856412450670403
NM_029499	Ms4a4c|5830413L19Rik|AI449185|Ms4a9|-|19 A|19|protein-coding	-2.0347884514483403	0.00165696924268462	5.67178797144193
NM_153459	Dusp7|AU015694|Mkpx|Pyst2|-|9 F1|9|protein-coding	-2.03196177409928	0.0015745773731092	6.19443576938511
NR_121571	Plcd1|AW212592|C79986|-|9 F3|9|protein-coding	-2.01637435078215	0.00844580561610522	2.5678228297530095
NM_011338	Ccl9|CCF18|MRP-2|Scya10|Scya9|RP23-320E6.3|11 C|11 50.81 cM|protein-coding	-2.01165702850333	0.00589284772642904	2.9113936189969505
NM_015800	Crim1|AU015004|-|17 E2-E3|17|protein-coding	-2.00217973358574	0.00189502527583885	6.75223039707139
NR_030703	Snord104|-|-|11|11|snoRNA	-1.99752727160525	0.0036795744918020103	4.02414588109326
NM_001033405	Treml2|AW049306|Gm750|Tlt2|-|17 C|17|protein-coding	-1.9791120966129698	0.00531256835685413	3.5377603084521403
NM_178060	Thra|6430529J03Rik|AW259572|Erba|Nr1a1|Rvr|T3R[a]|T3Ralpha|Thra1|Thra2|RP23-395E10.6|11 D-E|11 62.58 cM|protein-coding	-1.9683512644963799	0.00672810370284438	3.27916243171807
NM_009429	Tpt1|TCTP|Trt|p21|p23|-|14 D3|14 40.29 cM|protein-coding	-1.9665225624157199	0.00221332535661331	8.94290855782632
NM_013630	Pkd1|PC1|mFLJ00285|-|17 A3.3|17 12.4 cM|protein-coding	-1.95600732096	0.00245232295575599	7.64121426383723
NM_033042	Tnfrsf25|APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl|RP23-284C20.2|4|4 E1|protein-coding	-1.94190191881721	0.00288739794861084	6.53714623155379
NM_029348	Zbtb4|2310026P19Rik|9230111I22Rik|mKIAA1538|RP23-422L16.16|11|11 B4|protein-coding	-1.94160248124694	0.00331950508958153	5.58972452363472
NR_030671	AW011738|-|-|4 E2|4|ncRNA	-1.92997424709463	0.0059922502330556	3.6690345114869203
NM_172468	Snx30|4732481H14Rik|C030041J06Rik|RP23-451K12.1|4 B3|4|protein-coding	-1.8719593717094098	0.00841690037176481	3.86476210157812
NM_001195537	Smpd5|ENSMUSG00000071724|Gm10345|MA-nSMase|mCG_22096|15 D3|15|protein-coding	-1.8675103116601102	0.0063875911114848	4.726318944985571
NR_028449	Hdac10|AW548891|Hd10|-|15 E3|15|protein-coding	-1.86278700168852	0.0055783846142542105	5.5507494839219
NM_008036	Fosb|-|-|7 A2-B1|7 9.56 cM|protein-coding	-1.8551200424731	0.0048743581948022105	8.27106037378128
NM_009593	Abcg1|AW413978|Abc8|White|-|17|17|protein-coding	-1.8432036592872398	0.00569436228942438	6.56238108292164
NM_177305	Arl4c|A630084M22Rik|Arl7|LAK|-|1 D|1|protein-coding	-1.82222582675296	0.00585016021280108	10.099076130867699
NM_001099328	Zfp831|ENSMUSG00000050600|OTTMUSG00000017459|RP23-45P4.1|2 H4|2|protein-coding	-1.8191228956550902	0.00674568767530045	6.2401802051542195
NM_146019	Chd3|2600010P09Rik|AF020312|Chd7|Prp7|Prp9-1|RP23-26L6.13-001|11 B3|11|protein-coding	-1.8142770865811202	0.00621594575566625	9.04890045009256
NR_046233	Rn45s|-|-|-|rRNA	-1.80760980484116	0.0063995795510507	11.7084363144108
NM_010637	Klf4|EZF|Gklf|Zie|RP23-322L22.2|4 B3|4 29.76 cM|protein-coding	-1.8023506503470001	0.00844580561610522	5.1986264880101105
NM_029116	Kbtbd11|2900016B01Rik|4930465M17Rik|mKIAA0711|-|8 A1.1-2|8|protein-coding	-1.79726393820052	0.0069808599162869	8.86272952332181
NM_009343	Phf1|AW557215|D17Ertd455e|PHF2|Tctex-3|Tctex3|mPcl1|-|17 A3.3|17 13.6 cM|protein-coding	-1.77189062598052	0.008525129800093909	7.05282094661075
NM_144811	Cbx7|1600014J01Rik|AI851678|D15Ertd417e|-|15 E1|15 37.85 cM|protein-coding	-1.74868621782552	0.00964795504190287	7.79921993738208
