Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGhi-LCMV-7d vs. RNA-LCMV-0d logCPM
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	-10.703833117711302	8.86039390493104e-17	2.51233751285515
NM_013603	Mt3|Mt-3|-|8 C5|8 46.29 cM|protein-coding	-10.568454850126999	4.0454092486945293e-16	2.3798496611452498
NM_053199	Cadm3|BIgR|Igsf4b|Necl-1|Necl1|SynCAM3|Tsll1|-|1 H3|1|protein-coding	-10.515192378600801	7.43926115970037e-16	2.3277959962777097
NM_015789	Dkkl1|AI414495|SGY|SGY-1|SGY1|Soggy|mSgy|-|7 B4|7 29.19 cM|protein-coding	-10.4917495662456	9.70051793115443e-16	2.3048986138924703
NM_211138	Pcyt1b|AW045697|CTTbeta|RP23-369L6.1|X C3|X|protein-coding	-10.443689241829698	1.7136473287452698e-15	2.2579827344622703
NM_133851	Nusap1|2610201A12Rik|AI481307|ANKT|AW547774|BB165529|BM037|LNP|NuSAP|Q0310|SAPL|RP23-22A15.4|2 E5|2|protein-coding	-10.373017286058301	8.196365842280079e-35	6.26574394692917
NM_175641	Ltbp4|2310046A13Rik|-|7 A3|7|protein-coding	-10.368456607203901	4.09704049668291e-15	2.18461463449064
NM_001290521	Wdr31|5430402I10Rik|spWD|RP24-189G18.3|4|4 C1|protein-coding	-10.3249008148022	6.75762048003343e-15	2.14218047577982
NM_010653	Klrc2|NKG2C|-|6 F3|6|protein-coding	-10.2981218450316	9.21922282524675e-15	2.11610692236655
NM_001081099	Clhc1|2610002D18Rik|Aunip|-|4 D3|4|protein-coding	-10.2981218450316	9.21922282524675e-15	2.11610692236655
NM_017407	Spag5|AI874642|D11Bhm180e|Deepest|MAP126|Mastrin|S17|RP23-185A18.13-001|11 B5|11 46.74 cM|protein-coding	-10.027105275608301	4.0702290294055893e-35	6.476690878784799
NM_008196	Gzmk|-|-|13 D2.2|13|protein-coding	-9.862723312980581	1.4445287161354198e-37	7.282998061267019
NM_010128	Emp1|I-8-09|TMP|-|6 G1|6 66.25 cM|protein-coding	-9.84601187278353	1.09023920548962e-36	7.009276710942731
NM_001033228	Itga1|CD49A|E130012M19Rik|Vla1|-|13 D2.2|13 64.61 cM|protein-coding	-9.764278783305	1.3865514183392698e-27	4.74287987460746
NM_016970	Klrg1|2F1-Ag|MAFA|MAFA-L|-|6 F1|6 57.52 cM|protein-coding	-9.60324205913851	2.17476156325912e-39	8.32771288217548
NM_001033484	Iqgap3|AI593484|D030034H08|-|3 F1|3 38.78 cM|protein-coding	-9.31025563279006	4.098092010065289e-25	4.29180053048159
NM_001145198	1500009L16Rik|2700050C19Rik|OCC-1|-|10 C1|10|protein-coding	-9.12932557977749	3.82077786420022e-24	4.11232107160306
NM_153544	BC030867|-|RP23-461C4.3|11 D|11|protein-coding	-9.07744291591075	7.49638027259078e-24	4.06088823394312
NM_138653	Bspry|-|RP24-189G18.5|4|4 C1|protein-coding	-9.02600675515566	1.41573654750173e-23	4.00991388342755
NM_001081656	Neurl1b|C230078M08Rik|EG240055|-|17 A3.3|17|protein-coding	-8.994727702435679	2.12036586025347e-23	3.9789236151112797
NM_007548	Prdm1|Blimp-1|Blimp1|PRDI-BF1|ZNFPR1A1|b2b1765Clo|-|10 B2|10 23.24 cM|protein-coding	-8.98492726419175	5.164092135003629e-31	5.83782806598258
NM_197959	Kif18b|3000004C01Rik|RP23-463E7.6|11 E1|11|protein-coding	-8.91584408559462	1.0888207231087898e-31	6.081725524376281
NM_146119	Fam129b|9130404D14Rik|RP23-94M9.1|2 B|2|protein-coding	-8.88877149638141	7.75434549793284e-23	3.87399223766168
NM_013542	Gzmb|AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB|-|14 D3|14 28.19 cM|protein-coding	-8.74489418117037	1.0135799719430499e-37	10.1535694867801
NM_013552	Hmmr|AA386826|CD168|Rhamm|RP23-382C18.3|11 A5|11 24.4 cM|protein-coding	-8.72795331801603	3.39210606299252e-28	5.18234390843013
NM_021334	Itgax|AI449405|Cd11c|Cr4|N418|-|7 F3|7|protein-coding	-8.70003607346738	5.2137603916273095e-37	9.26537232251954
NM_018873	Srcin1|P140|SNIP|mKIAA1684|p140Cap|RP23-157O10.7|11 D|11|protein-coding	-8.69878923707399	8.24786386628235e-22	3.68604117361172
NM_009987	Cx3cr1|-|-|9 F4|9|protein-coding	-8.690758736237559	1.27328390246002e-36	8.859910049019051
NM_178395	Zdhhc2|5730415P04Rik|6430583A19Rik|-|8 A4|8|protein-coding	-8.60959082894706	1.44984712864025e-27	5.064670682138
NM_015736	Galnt3|-|RP23-306G16.2|2|2 C3|protein-coding	-8.53455553905862	6.17421850680096e-25	4.43574435225479
NM_001045543	Heatr9|Gm11435|OTTMUSG00000000990|RP23-320E6.1|11 C|11|protein-coding	-8.53337197936507	3.62211822519959e-27	4.9889261613916505
NM_026515	2810417H13Rik|AA409629|Ns5apt9|Ns5atp9|PAF15|Paf|mKIAA0101|p15(PAF)|-|9 C|9|protein-coding	-8.50012979696586	3.99396389591099e-33	7.022861614149821
NM_008153	Cmklr1|ChemR23|DEZ|Gpcr27|mcmklr1|-|5 F|5|protein-coding	-8.48231839283485	2.0079020751435798e-29	5.65012454088725
NM_025581	Ska1|2810433K01Rik|AV117428|-|18 E2|18|protein-coding	-8.47646011137427	1.2377249222416999e-20	3.4664429101008
NM_023612	Esm1|0610042H23Rik|AV004503|ESM-1|-|13 D2.2|13|protein-coding	-8.46106678960076	3.1832829699075303e-31	6.292750405750179
NM_010019	Dapk2|-|-|9 C|9 35.75 cM|protein-coding	-8.45925270310837	9.37819661025633e-27	4.91529247501374
NM_026785	Ube2c|1110015A16Rik|D2Ertd695e|RP23-370H21.6|2 H3|2 85.27 cM|protein-coding	-8.45676415821346	1.12709541279171e-31	6.45572578775897
NM_001136068	Klrc1|CD159a|NKG2A|NKG2B|RP23-145F22.5|6|6 G1-2|protein-coding	-8.30029032165913	2.65096503729158e-32	6.92965060827603
NM_146064	Soat2|ACAT2|D15Wsu97e|-|15 F3|15 57.33 cM|protein-coding	-8.264825010318269	1.86739025944243e-23	4.16840716914982
NM_009915	Ccr2|Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r|-|9 F|9 75.05 cM|protein-coding	-8.23593258956544	6.905196346355519e-33	7.37593103752995
NM_010892	Nek2|AA617254|C77054|-|1 H6|1 96.94 cM|protein-coding	-8.20445512803903	7.06224676465653e-30	6.03735568769405
NM_001113179	Bub1|AL022991|Bub1a|C80208|D2Xrf87|RP23-189N15.7|2 F1|2 62.1 cM|protein-coding	-8.19810955222855	2.34589919162285e-29	5.84187737577193
NM_021542	Kcnk5|TASK-2|-|14 A3|14|protein-coding	-8.18159777417715	9.169893206738228e-30	6.014617516964299
NM_133888	Smpdl3b|1110054A24Rik|AU045240|Asml3b|RP23-442A20.3|4 D2.3|4|protein-coding	-8.154170820560429	4.8269588202553e-30	6.154540074123019
NM_011369	Shcbp1|mPAL|-|8|8 A1.2|protein-coding	-8.09295560763169	4.1264439293539895e-28	5.519586991511691
NM_181589	Ckap2l|2010016H04Rik|2610318C08Rik|AV070319|radmis|rdm|RP23-160G19.6|2 F1|2|protein-coding	-8.08217572874017	1.12782744976474e-29	6.08292532230983
NM_028341	Ttc39c|1700008N02Rik|2810439F02Rik|-|18|18 A2|protein-coding	-8.08068551180106	3.1321364686207896e-27	5.25086581340653
NM_001081363	Cenpf|6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin|-|1 H6|1 95.03 cM|protein-coding	-8.062316299817839	1.3864940474520298e-29	6.06317416476091
NM_011311	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	-8.061577269234709	6.3632731168387e-34	9.08255699893896
NM_172453	Pif1|4631410M14|AI449441|-|9 C|9|protein-coding	-8.03166836916407	8.957187370184867e-28	5.458688561891839
NM_001145953	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	-7.9870071616505305	2.40239465244339e-32	7.8024051615813805
NR_104577	0610040F04Rik|-|RP23-131B11.3|6 E2|6|ncRNA	-7.97768800104353	3.95909879427626e-24	4.43755816002012
NM_015753	Zeb2|9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b|RP23-457H10.1|2|2 C1|protein-coding	-7.968556578489291	1.0888207231087898e-31	7.246325464166991
NM_028232	Sgol1|3300001M08Rik|C81037|Sgo1|-|17 C|17|protein-coding	-7.965721136743901	1.34019874587578e-26	5.13671029378677
NM_009185	Stil|Sil|RP23-295C20.5|4 D1|4|protein-coding	-7.9486152610465	5.52868545916667e-28	5.5938654602839994
NM_009917	Ccr5|AM4-7|CD195|Cmkbr5|-|9 F|9 75.05 cM|protein-coding	-7.8509853805664696	3.80703983406051e-31	7.193065678182111
NM_001014976	Espl1|AL024103|AU045071|Cerp|ESP1|PRCE|SSE|-|15 F3|15|protein-coding	-7.84350133447032	1.2002259180586299e-29	6.36927585776333
NM_008630	Mt2|AA409533|MT-II|Mt-2|-|8 C5|8 46.32 cM|protein-coding	-7.816653174807401	3.66529779323518e-17	2.81758997800402
NM_011313	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	-7.79729977768262	1.6242140256139997e-32	8.94958117542701
NM_007630	Ccnb2|CycB2|-|9 D|9|protein-coding	-7.78467522810242	1.14736889934526e-30	7.188133294606151
NM_008479	Lag3|CD223|LAG-3|Ly66|-|6 F2|6|protein-coding	-7.770407490150549	1.8486816790856698e-24	4.63095472045635
NM_001079876	Gas2l3|8430435B07Rik|Gm240|-|10 C2|10|protein-coding	-7.7685463203774905	5.595073205064629e-23	4.23051308602623
NM_011496	Aurkb|AIM-1|AIRK2|AL022959|Aik2|Aim1|Ark2|AurB|IPL1|STK-1|Stk12|Stk5|RP23-19I2.1|11 B3|11 42.32 cM|protein-coding	-7.74100063239272	1.5587835138481598e-29	6.471742818919929
NM_027290	Mcm10|2410041F14Rik|AU018508|C330019M07Rik|C79164|RP23-379M5.1|2 A1|2|protein-coding	-7.72640640481794	3.1290413633232098e-24	4.58736756192535
NM_001160127	Smyd1|4632404M21Rik|Bop|C78565|Zmynd18|-|6 C1|6 32.14 cM|protein-coding	-7.690785578474849	1.43331578340504e-22	4.15361093494907
NM_001081117	Mki67|D630048A14Rik|Ki-67|Ki67|-|7|7 F3-F5|protein-coding	-7.68531415354488	7.156965227431049e-32	8.64840184926391
NM_053190	S1pr5|Edg8|S1P5|lpB4|-|9|9 A4|protein-coding	-7.6762453979203995	3.49902123342852e-30	7.138852305220571
NM_027881	Osbpl3|1200014M06Rik|6720421I08Rik|A530055M08|ORP3|OSBP3|-|6|6 B3|protein-coding	-7.648674671790349	5.390330933984771e-31	7.821899008352929
NM_007659	Cdk1|Cdc2|Cdc2a|p34<CDC2>|-|10 B5.3|10 36.07 cM|protein-coding	-7.64348983108865	8.592252584049749e-29	6.27628191832493
NM_029617	Casc5|2310043D08Rik|5730505K17Rik|RP23-15I21.2|2 E5|2|protein-coding	-7.5836444590257095	5.479053834727639e-27	5.58761339995582
NM_021397	Zbtb32|4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp|-|7 B2-B3|7|protein-coding	-7.49245125195796	1.75448453142687e-26	5.49713776209149
NM_009791	Aspm|Calmbp1|D330028K02Rik|MCPH5|Sha1|AC158946.1|1 F|1|protein-coding	-7.47978174767404	2.84162786402169e-28	6.304469075380009
NM_175563	Prr11|B930067F20Rik|RP23-352L3.4|11 C|11|protein-coding	-7.47711305405782	1.1954534013797598e-27	6.00528763243572
NM_019549	Plek|2010300B13Rik|RP23-348N2.1|11 A2|11 9.41 cM|protein-coding	-7.46789630412228	3.8613162772231794e-31	9.29232362378503
NM_010620	Kif15|3110023M17Rik|3930402I10Rik|D330038N01|HKLP2|Knsl7|b2b1117.1Clo|-|9 F4|9|protein-coding	-7.4592631153155	2.6776112751664096e-27	5.87344011596362
NM_028135	Tmem163|2610024A01Rik|SV31|-|1 E3|1|protein-coding	-7.4542987838323	7.920810738700909e-26	5.292275941045549
NM_010177	Fasl|APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld|-|1 H2.1|1 69.95 cM|protein-coding	-7.43182952217103	3.8541075549295997e-26	5.437018463955309
NM_008337	Ifng|IFN-g|Ifg|-|10 D2|10 66.75 cM|protein-coding	-7.424757931727441	1.52510135261297e-29	7.3719294312963495
NM_146001	Hip1|2610109B09Rik|A930014B11Rik|E130315I21Rik|mKIAA4113|-|5 F-G2|5 75.18 cM|protein-coding	-7.3636405696228895	8.949537581802549e-29	6.990818470429599
NM_198605	Ska3|F630043A04Rik|-|14 C3|14|protein-coding	-7.342665171752389	5.181053522227139e-24	4.77538837044584
NM_010370	Gzma|AW494114|Ctla-3|Ctla3|Hf|SE1|TSP-1|TSP1|-|13 D|13 63.93 cM|protein-coding	-7.3261184204381395	1.3654084423044099e-30	9.90768395686676
NM_134471	Kif2c|4930402F02Rik|ESTM5|Knsl6|MCAK|X83316|RP23-59L24.10-001|4 D1|4 53.42 cM|protein-coding	-7.323709638780239	2.877827988134e-26	5.61505777829263
NM_027930	Mtfr2|2610016C23Rik|4933412C16Rik|Dufd1|Fam54a|-|10 A3|10|protein-coding	-7.2748085075614	9.24749395616822e-22	4.14081674191409
NM_001287179	Kif14|D1Ertd367e|E130203M01|-|1 F|1 59.8 cM|protein-coding	-7.265760928928901	1.2789869356387898e-25	5.42206268895859
NM_001164362	Cep55|1200008O12Rik|2700032M20Rik|-|19|19 C3|protein-coding	-7.252546742491321	1.9799057556817598e-26	5.782520295493501
NM_011498	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	-7.239553213697669	7.06224676465653e-30	8.97316386118559
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	-7.20300872097618	3.49902123342852e-30	11.576818105627801
NM_019438	Ncapg|5730507H05Rik|Hcapg|MFT.M05.13|-|5 B3|5|protein-coding	-7.15075501807436	3.34515416216251e-27	6.36710522214166
NM_010553	Il18rap|AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL|-|1 B|1|protein-coding	-7.14034281163892	1.78005660143447e-29	9.19383081849663
NM_001127382	Rbm47|9530077J19Rik|-|5 C3.1|5|protein-coding	-7.0712510368717405	1.1402379078655199e-20	3.9400907037005
NM_001029872	Itgad|Cd11d|-|7 F3|7|protein-coding	-7.07073329292179	1.0241030989183e-21	4.25074654164557
NM_028039	Esco2|2410004I17Rik|D030072L07Rik|-|14 D1|14|protein-coding	-7.04534130530785	4.92068288262217e-25	5.4631807825623
NM_144539	Slamf7|19A|19A24|4930560D03Rik|CRACC|CS1|-|1|1 H2|protein-coding	-7.0438474409679905	2.7231671195063598e-27	6.86516352968648
NM_009445	Ttk|AL022661|Esk1|Mps1|PYT|esk|-|9 E2|9|protein-coding	-7.018677385687	3.02433966270176e-22	4.455162151341139
NM_019507	Tbx21|TBT1|Tbet|Tblym|RP23-428N4.9|11|11 D|protein-coding	-7.006158408317339	2.5085950427559103e-28	8.10905829608711
NM_001291892	Gp49a|gp49|-|10 B3|10|protein-coding	-6.969037708170741	1.1308657349245899e-18	3.44240204194815
NM_024413	Plekhf1|1810013P09Rik|APPD|LAPF|PHAFIN1|ZFYVE15|-|7|7 B1|protein-coding	-6.94389219654084	1.55942619272307e-18	3.41772378147279
NM_010615	Kif11|Eg5|Kif8|Kifl1|Knsl1|-|19 C2|19|protein-coding	-6.94027751935919	2.7960268036361497e-27	7.2200070711110405
NM_008446	Kif4|AI323435|D330050K22Rik|Kns4|RP23-213F21.3|X C3|X 43.72 cM|protein-coding	-6.91191363213219	2.4747447448582393e-25	5.828132563936089
NM_001082960	Itgam|CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a|-|7|7 F4|protein-coding	-6.910655825668019	1.88175323733668e-27	7.53746266436942
NM_013538	Cdca3|2410005A12Rik|C8|Grcc8|Tome-1|-|6 F2|6 59.17 cM|protein-coding	-6.88843990638729	6.448610302018e-26	6.3570086601431
NM_001285997	Prc1|D7Ertd348e|-|7 D3|7 45.62 cM|protein-coding	-6.86691100640704	1.7310987181404997e-26	6.81850024281876
NM_029766	Dtl|2810047L02Rik|5730564G15Rik|Ramp|-|1 H6|1|protein-coding	-6.8614748708349005	2.7881018413583303e-24	5.395324456859339
NM_010790	Melk|AI327312|MPK38|mKIAA0175|RP23-382O11.1|4 B1|4 23.46 cM|protein-coding	-6.83306489459766	3.0095955607958694e-23	4.99399057109587
NM_010683	Lamc1|Lamb2|-|1 G3|1 65.3 cM|protein-coding	-6.82585538641129	5.05238279972143e-26	6.60360576999449
NM_146208	Neil3|AI449477|BC034753|C85903|-|8 B1.3|8|protein-coding	-6.8110496368941105	3.11672199735215e-24	5.451133019794559
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	-6.80739322196817	4.177163759479079e-21	4.24681656875561
NM_144526	Fam64a|2610008F03Rik|6720460F02Rik|AI115087|CATS|RP23-207N15.1|11 B4|11|protein-coding	-6.8056800122695105	9.94803892612348e-22	4.462132424025559
NM_009828	Ccna2|AA408589|Ccn-1|Ccn1|Ccna|CycA2|Cyca|-|3 B|3 17.67 cM|protein-coding	-6.78038681488566	3.34515416216251e-27	8.13854992274034
NM_025979	Mastl|2700091H24Rik|C88295|GW|GWL|MAST-L|THC2|-|2 A3|2|protein-coding	-6.764575077091299	1.7362845533121398e-22	4.77691701945646
NM_198664	Tbc1d2|A630005A06Rik|BC022630|Gm1037|PARIS-1|PARIS1|RP23-117B19.7|4 B1|4|protein-coding	-6.710188185228731	3.41278651026359e-22	4.72326937676843
NM_173762	Cenpe|312kDa|AU019344|BC049989|C530022J18|CENP-E|Kif10|-|3 H2|3 62.55 cM|protein-coding	-6.68616840906919	2.1500046150453898e-24	5.7639089753146395
NM_146191	Lrrk1|AW319595|C230002E15Rik|D130026O16Rik|mKIAA1790|-|7 C|7|protein-coding	-6.67388331719908	4.68933663146486e-25	6.35753703603652
NM_028390	Anln|1110037A17Rik|2900037I21Rik|C78101|Scraps|-|9|9 A4|protein-coding	-6.651783069980629	1.38965333095051e-22	4.95046028196003
NM_001163610	Nhsl2|1110062M06Rik|6430511F03|AI225852|AW488865|EG621083|ENSMUSG00000073037|Gm10456|RP23-448C18.1|X D|X|protein-coding	-6.650399943047531	9.905398147883909e-24	5.482972208885441
NM_001012273	Birc5|AAC-11|Api4|TIAP|survivin40|RP23-268N22.2|11|11 E2|protein-coding	-6.60226294871785	2.0741578256183696e-25	6.8853644881582
NM_009013	Rad51ap1|2510006L10Rik|RAB22|-|6 F3|6 61.92 cM|protein-coding	-6.5932370186252305	4.0873876353259996e-21	4.4413563824465
NM_023284	Nuf2|2410003C07Rik|AU044112|C85691|Cdca1|NUF2R|-|1 H2.3-H3|1|protein-coding	-6.57786592329178	9.99897326705495e-23	5.1152500773087
NM_181315	Car5b|7330410H16Rik|CAVB|Ca5b|CarVb|D730005F19Rik|RP23-391L6.3|X F5|X|protein-coding	-6.5762692899039195	2.5156856029006498e-23	5.40978884914541
NM_001013368	E2f8|4432406C08Rik|AA410048|-|7 B4|7|protein-coding	-6.57035244613469	1.10225795232081e-24	6.396439432832791
NM_027182	Trip13|2410002G23Rik|D13Ertd328e|-|13 C1|13 40.15 cM|protein-coding	-6.544496708752179	5.35328066295009e-22	4.844687333510441
NM_001291894	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	-6.5299136665954896	2.2845226208374803e-14	2.4653394352775897
NM_001199123	Spc25|2600017H08Rik|2610205L13Rik|Spbc25|RP23-431D4.3|2|2 C3|protein-coding	-6.525086748906451	3.50611061020875e-22	4.94927316695759
NM_027533	Tspan2|6330415F13Rik|B230119D02Rik|tspan-2|-|3|3 F3|protein-coding	-6.519031720516041	3.5224015834485396e-23	5.43988962897509
NM_031376	Pik3ap1|1810044J04Rik|BCAP|-|19|19 D1|protein-coding	-6.49660982959457	1.52497256068871e-24	6.532009942614651
NM_011623	Top2a|Top-2|RP23-333D2.5|11 D|11 62.91 cM|protein-coding	-6.4916712090263	5.1127495488870194e-26	8.94890335460961
NM_026481	Tppp3|2700055K07Rik|CGI-38|Ceacam9|mmCGM8|-|8|8 D1|protein-coding	-6.436456117405809	4.33549602242907e-19	3.88217189773327
NM_001141977	Tpx2|2610005B21Rik|DIL2|REPP86|p100|RP23-414F8.1|2|2 H2|protein-coding	-6.42921686242015	1.98974747900279e-24	6.6813358017099
NM_198100	Tbkbp1|3110043L15Rik|ProSAPiP2|SINTBAD|RP23-81D2.2|11 D|11|protein-coding	-6.420345095587701	2.49642378169912e-23	5.89432011654179
NM_009104	Rrm2|AA407299|R2|-|12 A1.3|12 8.5 cM|protein-coding	-6.40376989587847	3.1552659971548304e-25	7.9679423168511905
NM_175554	Clspn|B130025E01|C85083|E130314M08Rik|RP23-204N19.4|4 D2.2|4|protein-coding	-6.3762830566185595	3.5209233999168203e-23	5.90706104746581
NM_010391	H2-Q10|H-2Q10|Q10|Qa10|-|17 B1|17 18.68 cM|protein-coding	-6.37487878503142	6.984098676079529e-23	5.730051244114901
