Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logFC	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d FDR	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logCPM
NM_007549	Blk|-|-|14 D1|14 33.25 cM|protein-coding	3.01674922734721	0.000153711001238603	2.14147092197119
NM_008013	Fgl2|AI385601|musfiblp|-|5 A3|5 9.83 cM|protein-coding	3.0063420221039103	0.000165985584004884	2.13243115116486
NM_007897	Ebf1|Ebf|O/E-1|OE-1|Olf-1|Olf1|RP23-32G8.1|11 B1.1|11 26.45 cM|protein-coding	2.92446391178402	0.00024529932938448397	2.14149833598065
NM_144539	Slamf7|19A|19A24|4930560D03Rik|CRACC|CS1|-|1|1 H2|protein-coding	2.8844838058947904	8.14465060493177e-05	2.9174489151840497
NM_001252055	Ly6c1|AA682074|AA959465|Ly-6C|Ly-6C1|Ly6c|-|15 D3|15 34.29 cM|protein-coding	2.74044393038542	0.000463586516924418	2.32737977660363
NM_007641	Ms4a1|AA960661|Cd20|Ly-44|Ms4a2|-|19 B|19 8.19 cM|protein-coding	2.66865460603516	0.000523820214887275	2.49200021651761
NM_001128146	5830411N06Rik|Scart2|-|7 F4|7|protein-coding	2.6583747483440097	3.9122331247771206e-05	7.282505756001
NM_019507	Tbx21|TBT1|Tbet|Tblym|RP23-428N4.9|11|11 D|protein-coding	2.6438196039024104	0.000130548777875833	3.9792413467147596
NM_026976	Faim3|1810037B05Rik|FcmuR|Toso|-|1 E4|1|protein-coding	2.5829460645376097	0.000995818716490224	2.36652759344316
NM_207105	H2-Ab1|AI845868|Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1|-|17 B1|17 17.98 cM|protein-coding	2.58008663422091	0.000130288147118004	4.86236271601505
NM_001253743	Fcer2a|CD23|Fce2|Fcer2|Ly-42|-|8 A1|8 1.92 cM|protein-coding	2.55513425694134	0.00121688729634282	2.3432106074957497
NM_001002011	Lmna|Dhe|-|3 F1|3 38.84 cM|protein-coding	2.54735614977905	0.000438121059364714	3.26243495856155
NM_011313	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	2.53547632192203	0.000263086560056514	3.9409536032804797
NM_028075	Tnfrsf13c|2010006P15Rik|BAFF-R|Baffr|Bcmd|Bcmd-1|Bcmd1|Lvis22|-|15 E1|15|protein-coding	2.49937914284759	0.000676674438368249	3.0722042070476903
NM_133720	Cysltr2|2300001H05Rik|CYSLT2R|Cltr2|Cyslt2|-|14 D3|14|protein-coding	2.43931673586843	0.00136236134366267	2.7444294734731605
NM_008982	Ptprj|AI450271|BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|RPTPJ|Scc-1|Scc1|RP24-113P16.2|2 E1-2|2 50.19 cM|protein-coding	2.41476627758815	0.00136236134366267	2.8694550138559003
NM_001033350	Bank1|A530094C12Rik|AI451642|AVIEF|BANK|-|3 G3|3 63.04 cM|protein-coding	2.3738145643777	0.00355747445644283	2.2460057275793903
NM_001164804	Coro2a|9030208C03Rik|AI563590|IR10|RP23-117B19.6|4 B1|4|protein-coding	2.3079908054115297	0.000777026393348021	4.95773269753487
NM_010637	Klf4|EZF|Gklf|Zie|RP23-322L22.2|4 B3|4 29.76 cM|protein-coding	2.2569627002890296	0.000863999687281363	6.148685779056339
NM_010382	H2-Eb1|H-2Eb|H2Eb|Ia-4|Ia4|-|17 B1|17 17.98 cM|protein-coding	2.25687624656381	0.00136236134366267	4.28304959563195
NM_146191	Lrrk1|AW319595|C230002E15Rik|D130026O16Rik|mKIAA1790|-|7 C|7|protein-coding	2.25058692669551	0.00652169241519652	2.2460574487816602
NM_052994	Spock2|AA407235|Gcap26|mKIAA0275|-|10|10 B3|protein-coding	2.2267916620796	0.0036955008111181796	2.9386219604602
NM_001159904	Klrb1c|AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c|-|6 F3|6 63.09 cM|protein-coding	2.18099331378547	0.009500337556033259	2.23767743828702
NM_009910	Cxcr3|Cd183|Cmkar3|RP23-49C8.4|X D|X 44.58 cM|protein-coding	2.16870096599803	0.0018049730113507	5.35284874801562
NM_010430	Hic1|AA408311|HIC-1|RP23-143A14.2|11 B5|11 45.76 cM|protein-coding	2.16853663367817	0.00607728214650464	2.76810201440056
NM_177632	Fam43a|Tuf1|-|16 B2|16|protein-coding	2.15587551781452	0.00890088201681524	2.43450788113059
NM_010553	Il18rap|AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL|-|1 B|1|protein-coding	2.1410571608061497	0.00260580762379572	4.50607263048702
NM_001033302	Ciart|Chrono|Gm129|-|3 F2.1|3|protein-coding	2.13611579145634	0.00513927258780129	3.22907699045071
NM_013613	Nr4a2|HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR|RP23-271B15.1|2 C1.1|2 31.66 cM|protein-coding	2.07403791519778	0.0035936249300100795	4.925496675827009
NM_010700	Ldlr|Hlb301|-|9 A3|9 7.87 cM|protein-coding	2.04352694749793	0.0045777763023636606	4.88030343572907
NM_010378	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	2.02738068398519	0.00492977456440227	4.83224345613288
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	2.0052877499725903	0.0045777763023636606	6.71212606674132
NM_001099217	Ly6c2|Ly-6C.2|Ly-6C2|-|15 D3|15|protein-coding	1.95429108757352	0.00618840940451095	6.7110181176774
NM_001042605	Cd74|CLIP|DHLAG|HLADG|Ia-GAMMA|Ii|-|18 E1|18 34.41 cM|protein-coding	1.94993506608419	0.00652169241519652	6.28314742382508
NM_001015046	Rap1gap2|AU067654|Garnl4|Gm1561|mKIAA1039|RP23-20M18.15|11 B5|11|protein-coding	1.9355554819909497	0.00926537895469694	4.5695547067091296
