Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-12d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-12d vs. RNA-LCMV-0d logCPM
NM_138653	Bspry|-|RP24-189G18.5|4|4 C1|protein-coding	-8.72610433632759	8.05576489808046e-21	3.70266679198514
NM_010128	Emp1|I-8-09|TMP|-|6 G1|6 66.25 cM|protein-coding	-8.43446084328719	6.639914983551871e-28	5.5840123163416795
NM_013653	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	-8.41138671973168	9.331164917334321e-36	12.761601582992101
NM_001291892	Gp49a|gp49|-|10 B3|10|protein-coding	-8.33285361505113	2.59421409219607e-25	4.77020823830098
NM_008196	Gzmk|-|-|13 D2.2|13|protein-coding	-8.30939977100614	6.639914983551871e-28	5.715648573317571
NM_001077189	Fcgr2b|AI528646|CD32|F630109E10Rik|Fc[g]RII|FcgRII|Fcgr2|Fcgr2a|Fcr-2|Fcr-3|Ly-17|Ly-m20|LyM-1|Lym-1|fcRII|-|1 H3|1 78.02 cM|protein-coding	-8.23931097708087	1.3198503338979001e-27	5.645542634642099
NM_028341	Ttc39c|1700008N02Rik|2810439F02Rik|-|18|18 A2|protein-coding	-8.106740618947839	3.66698610098935e-26	5.25601152650907
NM_021542	Kcnk5|TASK-2|-|14 A3|14|protein-coding	-8.01022189390271	7.0265472037901e-28	5.823885595138919
NM_021334	Itgax|AI449405|Cd11c|Cr4|N418|-|7 F3|7|protein-coding	-8.00864707508316	2.1220731048274797e-32	8.557883715916981
NM_146064	Soat2|ACAT2|D15Wsu97e|-|15 F3|15 57.33 cM|protein-coding	-7.969004312378289	2.17152369629427e-20	3.85009964915753
NM_001136068	Klrc1|CD159a|NKG2A|NKG2B|RP23-145F22.5|6|6 G1-2|protein-coding	-7.91083394506886	6.902549934575971e-29	6.52234101761418
NM_133888	Smpdl3b|1110054A24Rik|AU045240|Asml3b|RP23-442A20.3|4 D2.3|4|protein-coding	-7.6414298758425305	3.41523672513146e-26	5.6229532232433295
NM_009917	Ccr5|AM4-7|CD195|Cmkbr5|-|9 F|9 75.05 cM|protein-coding	-7.542825145758901	2.1379607410984298e-28	6.86676052567001
NM_001109657	Gas7|AW124766|B230343A10Rik|Gas7-cb|RP23-338M9.2|11 B3|11|protein-coding	-7.5106559793714105	1.3130808196161999e-23	4.916771569558549
NM_178395	Zdhhc2|5730415P04Rik|6430583A19Rik|-|8 A4|8|protein-coding	-7.418776382340571	2.17152369629427e-20	3.85289761856714
NM_007548	Prdm1|Blimp-1|Blimp1|PRDI-BF1|ZNFPR1A1|b2b1765Clo|-|10 B2|10 23.24 cM|protein-coding	-7.401809905657821	1.92362251416708e-21	4.23686412188092
NM_011311	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	-7.38524466178118	2.63540101592166e-29	8.3908684674351
NM_015736	Galnt3|-|RP23-306G16.2|2|2 C3|protein-coding	-7.36275544092682	3.0823290701691196e-17	3.23997892227024
NM_008337	Ifng|IFN-g|Ifg|-|10 D2|10 66.75 cM|protein-coding	-7.3025944480926395	6.639914983551871e-28	7.230879876409191
NM_175647	Dmrta1|Dmrt4|RP23-458E2.1|4 C5|4|protein-coding	-7.17003751221122	5.40832510073422e-13	2.13189235783606
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	-7.142049305051099	6.79445679737024e-13	2.10370740220696
NM_001291894	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	-7.0683271516997195	1.0115122367686801e-15	2.9436427559900404
NM_001160127	Smyd1|4632404M21Rik|Bop|C78565|Zmynd18|-|6 C1|6 32.14 cM|protein-coding	-7.02925161261402	2.34254120816115e-18	3.4618368953393706
NM_011313	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	-7.016278251503481	1.0930916318608198e-27	8.15439781274745
NM_010177	Fasl|APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld|-|1 H2.1|1 69.95 cM|protein-coding	-6.97822064365382	1.378743823403e-22	4.961057823874519
NM_010391	H2-Q10|H-2Q10|Q10|Qa10|-|17 B1|17 18.68 cM|protein-coding	-6.9560205118755905	2.3216123885679e-25	6.282702929783139
NM_001145801	Ctla2b|AW545568|Ctla-2b|-|13|13|protein-coding	-6.89686837451306	6.5730894631281506e-24	5.703017624458821
NM_009987	Cx3cr1|-|-|9 F4|9|protein-coding	-6.68232141671255	4.51042200005168e-25	6.84229453001921
NM_001127382	Rbm47|9530077J19Rik|-|5 C3.1|5|protein-coding	-6.67593911120646	1.24267380654067e-17	3.50962714256558
NM_146191	Lrrk1|AW319595|C230002E15Rik|D130026O16Rik|mKIAA1790|-|7 C|7|protein-coding	-6.64977835774945	3.8757407098877695e-24	6.311708973986191
NM_011057	Pdgfb|PDGF-B|Sis|-|15 E|15 37.85 cM|protein-coding	-6.608035788675161	8.900352970038441e-19	4.01465491884264
NM_019507	Tbx21|TBT1|Tbet|Tblym|RP23-428N4.9|11|11 D|protein-coding	-6.58015251536897	3.24052687288852e-25	7.6674563319974105
NM_001033254	Pak6|4732456M09|RP23-204G5.2|2 E5|2|protein-coding	-6.497253129329151	5.06824426813599e-20	4.481718792194769
NM_008153	Cmklr1|ChemR23|DEZ|Gpcr27|mcmklr1|-|5 F|5|protein-coding	-6.4335421838302995	3.1535146546216803e-17	3.5819361295690797
NM_001115154	Samd3|Gm623|-|10 A4|10|protein-coding	-6.43336292493364	8.05576489808046e-21	4.82974583515329
NM_010019	Dapk2|-|-|9 C|9 35.75 cM|protein-coding	-6.384649938378691	4.79645566997113e-15	2.8153149634103296
NM_024413	Plekhf1|1810013P09Rik|APPD|LAPF|PHAFIN1|ZFYVE15|-|7|7 B1|protein-coding	-6.34028211597229	7.659658074574659e-15	2.7708874742289002
NM_008479	Lag3|CD223|LAG-3|Ly66|-|6 F2|6|protein-coding	-6.307309264292741	9.56955418288286e-16	3.14077392928948
NM_144539	Slamf7|19A|19A24|4930560D03Rik|CRACC|CS1|-|1|1 H2|protein-coding	-6.27226137483587	2.4083512747026e-22	6.079214490085059
NM_010553	Il18rap|AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL|-|1 B|1|protein-coding	-6.25306101302099	5.711183952852759e-24	8.296264050845199
NM_001159904	Klrb1c|AI462337|CD161|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1c|ly-55c|-|6 F3|6 63.09 cM|protein-coding	-6.20331193786335	1.0682666172714e-21	5.91808107547377
NM_013542	Gzmb|AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB|-|14 D3|14 28.19 cM|protein-coding	-6.12051382662508	7.34683056180294e-23	7.527244638558179
NM_019549	Plek|2010300B13Rik|RP23-348N2.1|11 A2|11 9.41 cM|protein-coding	-5.9925304861554	2.1224194177932e-22	7.812167543109469
NM_198000	1700001O22Rik|1700113K14Rik|4930549G18Rik|RP23-221O14.1|2 B|2|protein-coding	-5.99028237873452	1.4738423693158697e-15	3.3986652591430495
NR_104577	0610040F04Rik|-|RP23-131B11.3|6 E2|6|ncRNA	-5.984381266910041	4.00210823287191e-13	2.4151668745576
NM_011207	Ptpn3|9530011I20Rik|PTP-H1|PTPCL|RP23-293N9.2|4 B3|4 31.66 cM|protein-coding	-5.97494314035321	7.4580667141777e-15	3.12435906588646
NM_009565	Zbtb7b|Thpok|Zfp67|c-Krox|-|3 A1-A2|3 39.09 cM|protein-coding	-5.97363097248485	2.1161472741962998e-20	5.5393435222586795
NM_001145953	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	-5.92158018355035	1.9716097388624e-20	5.732635437453751
NM_007646	Cd38|ADPRC 1|Cd38-rs1|-|5 B3|5 23.85 cM|protein-coding	-5.90209970356349	1.76025137069829e-14	3.0518180762001004
NM_053190	S1pr5|Edg8|S1P5|lpB4|-|9|9 A4|protein-coding	-5.892346180817991	1.09921105371486e-19	5.34826531056181
NM_031376	Pik3ap1|1810044J04Rik|BCAP|-|19|19 D1|protein-coding	-5.880211982533781	1.9224182210918898e-20	5.9009931065174905
NM_146001	Hip1|2610109B09Rik|A930014B11Rik|E130315I21Rik|mKIAA4113|-|5 F-G2|5 75.18 cM|protein-coding	-5.85093745204757	8.4186061781072e-20	5.47060060514632
NM_009910	Cxcr3|Cd183|Cmkar3|RP23-49C8.4|X D|X 44.58 cM|protein-coding	-5.82301138984543	8.34451723538471e-22	8.69994625953015
NM_023612	Esm1|0610042H23Rik|AV004503|ESM-1|-|13 D2.2|13|protein-coding	-5.74561581603213	9.25159552408763e-16	3.5662194360554302
NM_028135	Tmem163|2610024A01Rik|SV31|-|1 E3|1|protein-coding	-5.7403427306438	1.00679080805065e-15	3.56099123179134
NM_027881	Osbpl3|1200014M06Rik|6720421I08Rik|A530055M08|ORP3|OSBP3|-|6|6 B3|protein-coding	-5.7253113251890495	7.5039665050614e-20	5.89635088503212
NM_146061	Prr5|AU043908|Arhgap8|C030017C09Rik|C78947|Protor-1|Protor1|-|15|15 E|protein-coding	-5.630619379068481	3.65086197399335e-15	3.45226629541525
NM_008504	Gzmm|Lmet1|MMET-1|-|10 C|10 39.72 cM|protein-coding	-5.59804840075808	1.77466009198432e-18	5.32089618440766
NM_011498	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	-5.5527529109013605	5.67299120620443e-20	7.28758581203611
NM_181819	Wfikkn2|2610304F08Rik|AY100450|Gasp1|WFIKKNRP|RP23-244C22.2|11|11 C|protein-coding	-5.545554917492289	7.908904952435769e-20	7.019914515263389
NM_033078	Klrk1|D6H12S2489E|NKG2-D|Nkg2d|-|6 F3|6 63.44 cM|protein-coding	-5.51779835977945	6.55498896301545e-20	7.43248459730965
NM_029440	Wdr95|4930434E21Rik|-|5 G3|5|protein-coding	-5.47784138616639	8.87562561147931e-18	5.10329489817431
NM_011204	Ptpn13|AI324989|PTP-BL|PTPL1|Ptpri|RIP|-|5 E-F|5 50.43 cM|protein-coding	-5.4603119248307	2.94594221224814e-17	4.738472161196981
NM_153094	Klrb1f|A630024B12Rik|Nkr-p1f|Nkrp1-f|Nkrp1f|-|6 F3|6|protein-coding	-5.4494593368896105	2.63251815522821e-12	2.60244423214517
NM_010730	Anxa1|Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1|-|19 B|19 13.83 cM|protein-coding	-5.44354171633158	1.4298476351285903e-17	4.962774237445281
NM_025404	Arl4d|1110036H21Rik|ARL6|AW456149|Arf4l|Arfl4|Arl5|RP23-382C19.6|11 D|11|protein-coding	-5.4405908669234595	1.3110410031683699e-18	5.95944193985253
NM_015753	Zeb2|9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b|RP23-457H10.1|2|2 C1|protein-coding	-5.42203532669623	4.47776143824056e-17	4.700855453383969
NM_008013	Fgl2|AI385601|musfiblp|-|5 A3|5 9.83 cM|protein-coding	-5.37852564316028	3.21218904749755e-16	4.2865868661377995
NM_001170867	Ncald|AI848120|D030020D09Rik|D15Ertd412e|-|15 B3.1|15 14.94 cM|protein-coding	-5.36374335559912	6.87966713631947e-18	5.6431971080974295
NM_030887	Jdp2|Jundm2|Jundp2|TIF|-|12|12 D3|protein-coding	-5.33009793995153	2.8099407566119104e-12	2.74388737460524
NM_001080780	Ret|PTC|RET51|RET9|c-Ret|-|6 E3-F1|6 55.86 cM|protein-coding	-5.309324862333541	2.6805401631447198e-14	3.59193539479487
NM_009848	Entpd1|2610206B08Rik|AA408691|Cd39|NTPDase-1|-|19 C3|19 34.25 cM|protein-coding	-5.24406374610909	9.0085089702544e-14	3.3907066691047003
NM_011352	Sema7a|2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal|-|9|9 A3.3-B|protein-coding	-5.20490777210652	3.75854583316337e-11	2.3610681130793902
NM_198100	Tbkbp1|3110043L15Rik|ProSAPiP2|SINTBAD|RP23-81D2.2|11 D|11|protein-coding	-5.18194724047504	6.91493803951969e-16	4.64976638325804
NM_001163610	Nhsl2|1110062M06Rik|6430511F03|AI225852|AW488865|EG621083|ENSMUSG00000073037|Gm10456|RP23-448C18.1|X D|X|protein-coding	-5.14494278632249	1.45968439048505e-14	3.96994484920488
NM_016970	Klrg1|2F1-Ag|MAFA|MAFA-L|-|6 F1|6 57.52 cM|protein-coding	-5.12839137736142	2.17812067276969e-14	3.86070677063014
NM_010683	Lamc1|Lamb2|-|1 G3|1 65.3 cM|protein-coding	-5.12491514528417	3.28477939594157e-16	4.90438146075779
NM_153142	Slc35e4|A330108F03Rik|AI414849|AI536442|RP23-128G5.5|11 A1|11|protein-coding	-5.08080546113678	9.94232306068131e-13	3.07889914077369
NM_008982	Ptprj|AI450271|BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|RPTPJ|Scc-1|Scc1|RP24-113P16.2|2 E1-2|2 50.19 cM|protein-coding	-5.05993593206838	2.7026956907330397e-16	5.2444908913454595
NM_145535	Sdcbp2|-|RP23-419G21.7|2 G3|2|protein-coding	-5.028780155929151	1.0115122367686801e-15	4.900817001808741
NM_001029872	Itgad|Cd11d|-|7 F3|7|protein-coding	-5.02449105631345	2.62641165812795e-10	2.18390114054142
NM_183224	Fam19a3|7530404M11Rik|TAFA3|Tafa-3|-|3 F2.2|3|protein-coding	-5.0200822159569	1.9090068265915298e-12	3.0193372209941804
NM_010170	F2rl2|F730031A08|PAR3|-|13 D1|13 50.38 cM|protein-coding	-5.0089371115731	6.43098752421657e-15	4.3603996807718906
NM_001146325	Tigit|ENSMUSG00000071552|Vstm3|-|16 B4|16|protein-coding	-4.956257916909481	4.0377805564074894e-14	3.9552694432025097
NM_001145799	Ctla2a|Ctla-2a|-|13 B2|13 32.56 cM|protein-coding	-4.94702993953973	4.6164874341428396e-17	7.56603131641338
NM_019429	Prss16|AI448615|TSSP|RP23-9O16.20-001|13 A3-A5|13 8.12 cM|protein-coding	-4.93968227362109	5.93231792534803e-10	2.1009441947767
NM_025451	Camk2n1|1810006K23Rik|AI848599|AI891706|RP23-25C1.11-001|4 D3|4|protein-coding	-4.82809326543791	1.17028916614297e-12	3.3608809260948505
NM_181315	Car5b|7330410H16Rik|CAVB|Ca5b|CarVb|D730005F19Rik|RP23-391L6.3|X F5|X|protein-coding	-4.74340059592109	1.4296530083111202e-12	3.5779636175593996
NM_001045513	Raph1|9430025M21Rik|C730009O10Rik|Lpd|-|1 C2|1|protein-coding	-4.738606360884821	3.20657348066045e-14	4.52850687278483
NM_009655	Alcam|AI853494|BEN|CD166|DM-GRASP|MuSC|SC1|-|16 B5|16|protein-coding	-4.71004367596228	6.02461208773564e-13	3.79367746549532
NM_021397	Zbtb32|4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp|-|7 B2-B3|7|protein-coding	-4.70027729832297	6.30699042873638e-11	2.70704861934001
NM_013652	Ccl4|AT744.1|Act-2|MIP-1B|Mip1b|Scya4|RP23-320E6.8|11 C|11 51.09 cM|protein-coding	-4.64230968566292	9.83818047114975e-14	4.481179537651331
NM_001033290	Gpr55|Gm218|Lpir1|-|1 C5|1|protein-coding	-4.63629713379039	2.0569710231274397e-13	4.22987183213397
NM_011176	St14|Epithin|MT-SP1|Prss14|Tmprss14|mCAP3|matriptase|-|9 A4|9 16.61 cM|protein-coding	-4.63461519591414	1.4059851499794501e-12	3.72054868418665
NM_007403	Adam8|CD156|CD156a|E430039A18Rik|MS2|-|7|7 F3-F5|protein-coding	-4.63426382153175	6.43747790520748e-14	4.68317764982955
NM_009545	Pcgf2|Mel18|Rnf110|Zfp144|mel-18|RP23-94N18.7|11 C1-C3|11 61.06 cM|protein-coding	-4.6255647057267195	5.37058234802493e-13	3.9878054422072
NM_007765	Crmp1|CRMP-1|DRP-1|Dpysl1|ULIP-3|Ulip3|-|5 B3|5 19.96 cM|protein-coding	-4.60887766987267	1.27394999732134e-11	3.14777677751634
NM_001145920	Runx2|AML3|Cbf|Cbfa-1|Cbfa1|LS3|Osf2|PEBP2aA|Pebp2a1|Pebpa2a|-|17 B3|17 21.33 cM|protein-coding	-4.566144180682071	4.79645566997113e-15	7.2497683686064995
NM_175088	Mdfic|Kdt1|Mdfid|-|6 A1|6|protein-coding	-4.562102549665151	7.12226937593526e-14	4.92815974562725
NM_027982	Ppm1j|2310008J22Rik|PP2Czeta|Ppp2cz|-|3|3 F3|protein-coding	-4.52354096261621	1.7519227454954898e-14	6.1104372595629695
NM_009251	Serpina3g|2A2|AI119734|Spi2-1|Spi2/eb.1|Spi2A|spi2|-|12 E|12|protein-coding	-4.52175502080325	2.11211173674984e-11	3.26995906452769
NM_008737	Nrp1|C530029I03|NP-1|NPN-1|Npn1|Nrp|-|8 E|8 75.78 cM|protein-coding	-4.41656497290103	1.0195193494936501e-13	5.5696935238947995
NM_013820	Hk2|AI642394|HKII|-|6 C3|6 35.94 cM|protein-coding	-4.41266744856482	1.3600970994835202e-12	4.38945444987203
NM_001099217	Ly6c2|Ly-6C.2|Ly-6C2|-|15 D3|15|protein-coding	-4.39866800359367	1.98914480331261e-14	8.850568479467029
NM_134082	Farp1|AW228844|BC030329|Cdep|-|14 E5|14|protein-coding	-4.39631281503532	8.243466573711599e-12	3.6351767513214903
NM_023044	Slc15a3|Ci1|cI-1|-|19|19 B|protein-coding	-4.37649392463788	2.3381905645619802e-08	2.03416801523744
NM_001289453	Fut7|AI853193|FTVII|Fuc-TVII|FucT-VII|RP23-47P18.7|2 A3|2|protein-coding	-4.365081198997	1.4004883099899401e-09	2.53437409003231
NM_008365	Il18r1|Il18ralpha|Il1rrp|-|1 B|1|protein-coding	-4.35579546859232	3.01856495082305e-14	9.32875481859113
NM_183424	Qrfp|P518|RP23-65P13.5|2 B|2|protein-coding	-4.3416709192733505	2.33979765428005e-10	2.8898606693602504
NM_010578	Itgb1|4633401G24Rik|AA409975|AA960159|CD29|ENSMUSG00000051907|Fnrb|Gm9863|gpIIa|-|8 E2|8|protein-coding	-4.30449151383225	4.83976314974692e-14	10.3031296776941
NM_001134385	Gpr160|1700025D19Rik|GPCR150|-|3|3 B|protein-coding	-4.27559040169496	2.5576068577926103e-11	3.71243748683987
NM_001015046	Rap1gap2|AU067654|Garnl4|Gm1561|mKIAA1039|RP23-20M18.15|11 B5|11|protein-coding	-4.256268427857529	2.31307091953424e-13	6.581681588853919
NM_001081166	Phf21b|A730032D07Rik|-|15 E2|15|protein-coding	-4.2462992880765595	3.40983005378331e-11	3.74345829064978
NM_010567	Inppl1|51C|SHIP2|-|7 F1|7|protein-coding	-4.24146769306437	3.5492552195949605e-11	3.73883900103665
NM_010194	Fes|AI586313|BB137047|FPS|c-fes|-|7 D3|7 45.65 cM|protein-coding	-4.24010398978764	1.44698062426037e-10	3.17985924355878
NM_026864	Rasl11a|1110065D03Rik|AI852031|-|5 G3|5|protein-coding	-4.22294147717204	9.433183442144041e-09	2.24684403394402
NM_011338	Ccl9|CCF18|MRP-2|Scya10|Scya9|RP23-320E6.3|11 C|11 50.81 cM|protein-coding	-4.22193319616872	1.11669625470821e-09	2.65965206697928
NM_133662	Ier3|AI663993|IEX-1|cI-3|gly96|-|17 B1|17|protein-coding	-4.20020735814116	4.751156029761621e-12	4.67277597928792
NM_023128	Palm|-|-|10 C1|10 39.72 cM|protein-coding	-4.13578691017998	5.45586178121326e-11	3.8527420523349702
NR_110987	Lmtk3|BC059845|aatyk3|-|7 B4|7|protein-coding	-4.12695689091204	1.05960972751705e-08	2.44371518414609
NM_008036	Fosb|-|-|7 A2-B1|7 9.56 cM|protein-coding	-4.10861924770326	6.622937185863741e-13	8.01101138399638
NM_177855	Med12l|A130035F20|A630079M02|AU044581|TRALPUSH|-|3 D|3|protein-coding	-4.1051928599255	2.00841030712789e-10	3.35664902431449
NM_009851	Cd44|AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1|RP23-203N8.3|2 E2|2 54.13 cM|protein-coding	-4.07665022610436	1.30038379439398e-12	7.139005257254981
NM_019418	Tnfsf14|HVEM-L|HVEML|LIGHT|LTg|Ly113|-|17|17 D-E1|protein-coding	-4.040991324503	8.883438557981151e-12	5.13709162097086
NM_013753	Pald1|MMPAL|Pald|mKIAA1274|-|10 B4|10|protein-coding	-4.03624273760877	5.69782234053221e-08	2.06948614104035
NM_001093766	Myadm|D7Wsu62e|-|7 A1|7 1.92 cM|protein-coding	-4.03571689160109	9.14290512752084e-10	3.2200584506077496
NM_001256042	Hsf4|HSF 4|HSTF 4|HSTF4|ldis1|mHSF4|-|8|8 D1|protein-coding	-4.029189416113891	2.7981622274178302e-08	2.35089641851173
NM_007609	Casp4|Casp11|Caspl|ich-3|-|9 A1|9 2.46 cM|protein-coding	-4.0021495521793	6.76555030681321e-09	2.67280597998989
NM_001159901	Hopx|1110018K11Rik|1200015P04Rik|2300002F06Rik|AI848177|AW490897|Cameo|Hdop|Hod|Hop|Ob1|Obl|Toto|-|5 C3.3|5|protein-coding	-3.9827503433817597	3.32239403117739e-12	7.36366419446401
NM_001033308	Themis2|ICB-1|RP23-442A20.5|4 D2.3|4|protein-coding	-3.97175364242712	3.7090428518437e-10	3.5390787484399
NM_019990	Stard10|AV048538|CGI-52|NY-C0-28|PC-TP2|PCTP2|Pctpl|Sdccag28|SdccagG28|TISP-81|-|7 E3|7|protein-coding	-3.9076449694277398	1.49109743214803e-11	6.04162588209309
NM_133348	Acot7|2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1|RP23-421E12.1|4 E2|4|protein-coding	-3.9045023303684996	9.268888486888099e-12	6.864223582020331
NM_011597	Tjp2|ZO-2|-|19 C1|19|protein-coding	-3.89685619778696	1.0343963244536e-07	2.22603276440781
NM_025980	Nrarp|2700054M22Rik|RP23-132N23.2|2 A3|2|protein-coding	-3.88598111133716	4.75041644639886e-10	3.8032117631567997
NM_007534	Bcl2a1b|A1-b|-|9 E3.1|9|protein-coding	-3.88283517045695	2.27436880633254e-10	4.21661650472588
NM_010304	Gna15|G[a]15|Galpha15|-|10 C1|10 39.72 cM|protein-coding	-3.86509526130373	2.01970443628841e-11	6.1957597168347895
NM_008798	Pdcd1|Ly101|PD-1|Pdc1|-|1 D|1|protein-coding	-3.8493846242650496	2.73533812708684e-09	3.24622193120101
NM_027533	Tspan2|6330415F13Rik|B230119D02Rik|tspan-2|-|3|3 F3|protein-coding	-3.8229250881775703	1.16001937590024e-08	2.78416669566116
NM_007585	Anxa2|AW215814|Cal1h|CT009708.1|9 C|9 38.58 cM|protein-coding	-3.8192820829994703	4.2336120155847104e-11	5.86116231388916
NM_001164202	Gm8369|EG666926|-|19 A|19|protein-coding	-3.7812930050244598	5.8539330092301e-11	6.023600961007191
NM_011798	Xcr1|Ccxcr1|Gpr5|mXcr1|-|9 F4|9 74.71 cM|protein-coding	-3.71982884063743	8.981284777548079e-08	2.5069353614696097
