Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logFC	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d FDR	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logCPM
NM_172756	Ankle1|8430438L13Rik|Ankrd41|C430003I23|Lem3|-|8 B3.3|8|protein-coding	6.02513202698307	1.48315632648417e-17	3.9877430555985702
NM_080850	Pask|mKIAA0135|-|1 D|1|protein-coding	5.99141851517166	1.84852508778147e-17	3.9547682863892297
NM_023284	Nuf2|2410003C07Rik|AU044112|C85691|Cdca1|NUF2R|-|1 H2.3-H3|1|protein-coding	5.9826726801130405	1.75210557293564e-19	5.0819858554669
NM_029617	Casc5|2310043D08Rik|5730505K17Rik|RP23-15I21.2|2 E5|2|protein-coding	5.93062862900346	5.808113825696889e-20	5.56277519539791
NM_175554	Clspn|B130025E01|C85083|E130314M08Rik|RP23-204N19.4|4 D2.2|4|protein-coding	5.890880086249731	3.79563164188279e-20	5.873191940010161
NM_027411	Spdl1|1700018I02Rik|2600001J17Rik|2810049B11Rik|AA409762|Ccdc99|RP23-329D21.1|11|11 A5|protein-coding	5.887896545675499	6.49781658228716e-17	3.85362254654454
NM_001287179	Kif14|D1Ertd367e|E130203M01|-|1 F|1 59.8 cM|protein-coding	5.8654439674966	1.75210557293564e-19	5.3964237562912
NM_027930	Mtfr2|2610016C23Rik|4933412C16Rik|Dufd1|Fam54a|-|10 A3|10|protein-coding	5.864495269650989	1.84852508778147e-17	4.11479954360619
NM_011369	Shcbp1|mPAL|-|8|8 A1.2|protein-coding	5.81595086437144	1.83662786220608e-19	5.49887333043764
NM_146208	Neil3|AI449477|BC034753|C85903|-|8 B1.3|8|protein-coding	5.78851020642246	2.72725870629395e-19	5.42339311483513
NM_026410	Cdca5|2610036L13Rik|AL024086|AW536684|C85404|-|19 A|19|protein-coding	5.76266988968794	2.64776198721615e-19	5.5391834533130195
NM_001042421	Kntc1|D330012D13|-|5 F|5|protein-coding	5.7368149644992	3.44879740523851e-19	5.4683422052061905
NM_010892	Nek2|AA617254|C77054|-|1 H6|1 96.94 cM|protein-coding	5.65938748835287	2.8545861969633e-19	6.02000596847395
NM_001113179	Bub1|AL022991|Bub1a|C80208|D2Xrf87|RP23-189N15.7|2 F1|2 62.1 cM|protein-coding	5.6556248374773	3.19946366166255e-19	5.824545376171731
NM_133851	Nusap1|2610201A12Rik|AI481307|ANKT|AW547774|BB165529|BM037|LNP|NuSAP|Q0310|SAPL|RP23-22A15.4|2 E5|2|protein-coding	5.477841022657679	9.18011350521577e-19	6.25595895770074
NM_001012273	Birc5|AAC-11|Api4|TIAP|survivin40|RP23-268N22.2|11|11 E2|protein-coding	5.4708148723352	4.68350156169877e-19	6.86213984685928
NM_026785	Ube2c|1110015A16Rik|D2Ertd695e|RP23-370H21.6|2 H3|2 85.27 cM|protein-coding	5.45600910906029	9.12871564146556e-19	6.443441257950241
NM_175563	Prr11|B930067F20Rik|RP23-352L3.4|11 C|11|protein-coding	5.428145706323921	2.6233439419797298e-18	5.98959607317545
NM_001081406	Lrr1|2410005L11Rik|AU021780|LRR-1|Ppil5|-|12|12 C3|protein-coding	5.4222513887812	1.9128837506721496e-12	2.5796282444361203
NM_001025779	Cdc6|CDC18L|RP23-333D2.2|11|11 D|protein-coding	5.4213206478522595	1.7367629725668503e-17	5.064622863938019
NM_028232	Sgol1|3300001M08Rik|C81037|Sgo1|-|17 C|17|protein-coding	5.38434353910904	1.84852508778147e-17	5.12413333976208
NM_009828	Ccna2|AA408589|Ccn-1|Ccn1|Ccna|CycA2|Cyca|-|3 B|3 17.67 cM|protein-coding	5.382360439718321	4.90709615180491e-19	8.11911377481041
NM_001081117	Mki67|D630048A14Rik|Ki-67|Ki67|-|7|7 F3-F5|protein-coding	5.362834865418071	4.90709615180491e-19	8.63551242031513
NM_009185	Stil|Sil|RP23-295C20.5|4 D1|4|protein-coding	5.30687735045361	1.84852508778147e-17	5.58319585798841
NM_009013	Rad51ap1|2510006L10Rik|RAB22|-|6 F3|6 61.92 cM|protein-coding	5.30601790153067	3.44610790265328e-16	4.42133337445134
NM_013538	Cdca3|2410005A12Rik|C8|Grcc8|Tome-1|-|6 F2|6 59.17 cM|protein-coding	5.29189223478963	6.1288365999058794e-18	6.340559843695541
NM_016904	Cks1b|2410005G18Rik|2610005D03Rik|AA407784|Cks1|sid1334|-|3 F1|3|protein-coding	5.27235116719938	1.1417045213548699e-17	6.05560632688757
NM_001141977	Tpx2|2610005B21Rik|DIL2|REPP86|p100|RP23-414F8.1|2|2 H2|protein-coding	5.2500668677772095	6.1288365999058794e-18	6.66146710620192
NM_017407	Spag5|AI874642|D11Bhm180e|Deepest|MAP126|Mastrin|S17|RP23-185A18.13-001|11 B5|11 46.74 cM|protein-coding	5.23012455976639	9.665592100676279e-18	6.472551488029111
NM_027263	Apitd1|2610040C18Rik|2810407L01Rik|CENP-S|RP23-249G3.3|4 E2|4|protein-coding	5.2168120510077305	1.58624733333711e-13	3.20267223657804
NM_028131	Cenpn|2610510J17Rik|AI426416|AW545024|-|8 E1|8|protein-coding	5.21076132566516	3.5041107374231404e-16	4.6476137281225895
NM_197959	Kif18b|3000004C01Rik|RP23-463E7.6|11 E1|11|protein-coding	5.20432517599809	1.84852508778147e-17	6.07660120555632
NM_172453	Pif1|4631410M14|AI449441|-|9 C|9|protein-coding	5.20400965332968	4.7569492405082297e-17	5.4509280530126905
NM_026282	Spc24|2410030K01Rik|AV109292|Spbc24|-|9 A3|9|protein-coding	5.18025001240337	1.22719035777117e-16	5.14003742124747
NM_007630	Ccnb2|CycB2|-|9 D|9|protein-coding	5.1120850480305	1.7367629725668503e-17	7.1821142128488304
NM_010615	Kif11|Eg5|Kif8|Kifl1|Knsl1|-|19 C2|19|protein-coding	5.111354635375281	1.7367629725668503e-17	7.2088440432864
NM_010620	Kif15|3110023M17Rik|3930402I10Rik|D330038N01|HKLP2|Knsl7|b2b1117.1Clo|-|9 F4|9|protein-coding	5.05543354947492	1.2763511854067599e-16	5.86722579523413
NM_001256142	Fsbp|-|-|4|4 5.11 cM|protein-coding	5.051235138052321	2.15333567466797e-11	2.4772828336669503
NM_001081085	Sapcd2|2010317E24Rik|6030458L21Rik|AL033337|ang|RP23-47P18.4|2 A3|2|protein-coding	5.003988580282019	3.733454517917301e-15	4.50362224528675
NM_133762	Ncapg2|5830426I05Rik|Luzp5|Mtb|mCAP-G2|-|12 F2|12|protein-coding	4.9957756705803	8.64159637680621e-17	6.655014711233259
NM_173762	Cenpe|312kDa|AU019344|BC049989|C530022J18|CENP-E|Kif10|-|3 H2|3 62.55 cM|protein-coding	4.98490963763534	3.3577204647549506e-16	5.75402358319645
NM_145924	Cenpi|AI504163|Fshprh1|RP23-162B19.4|X E3|X|protein-coding	4.955958700858191	6.313910962040279e-15	4.45728682750005
NM_027290	Mcm10|2410041F14Rik|AU018508|C330019M07Rik|C79164|RP23-379M5.1|2 A1|2|protein-coding	4.927541299623139	5.672640887474711e-15	4.58600287460505
NM_001033484	Iqgap3|AI593484|D030034H08|-|3 F1|3 38.78 cM|protein-coding	4.90662653238377	1.6025949379291798e-14	4.29543884445764
NM_145588	Kif22|AU021460|C81217|Kid|Kif22a|-|7 F3|7 69.29 cM|protein-coding	4.8977371821746996	3.44610790265328e-16	6.34850429298883
NM_009445	Ttk|AL022661|Esk1|Mps1|PYT|esk|-|9 E2|9|protein-coding	4.89301647183096	1.1194687189877199e-14	4.45057671057675
NM_011496	Aurkb|AIM-1|AIRK2|AL022959|Aik2|Aim1|Ark2|AurB|IPL1|STK-1|Stk12|Stk5|RP23-19I2.1|11 B3|11 42.32 cM|protein-coding	4.88526169194754	3.44610790265328e-16	6.4723255865669405
NM_007691	Chek1|C85740|Chk1|rad27|-|9|9 A5.3|protein-coding	4.8593901016244505	4.1661746532095904e-14	4.1258634217919905
NM_008446	Kif4|AI323435|D330050K22Rik|Kns4|RP23-213F21.3|X C3|X 43.72 cM|protein-coding	4.83912279125298	1.31601968794637e-15	5.8249441928833905
NM_029249	Parpbp|4930547N16Rik|AI503644|PARI|-|10 C2|10|protein-coding	4.76593823297919	1.01625416225522e-14	4.96080374682042
NM_021886	Cenph|1700021I11Rik|2410018A12Rik|2610042E16Rik|2810046K12Rik|AU044255|CENP-H|ENP|-|13 D1|13 53.23 cM|protein-coding	4.712136022601009	1.06719261067076e-12	3.53180816701451
NM_009940	Coq7|clk-1|-|7 F2|7 63.44 cM|protein-coding	4.67878496686375	3.53210101618604e-10	2.3381696117715003
NM_019438	Ncapg|5730507H05Rik|Hcapg|MFT.M05.13|-|5 B3|5|protein-coding	4.6647371113111396	4.61111664414767e-15	6.372055380388289
NM_029766	Dtl|2810047L02Rik|5730564G15Rik|Ramp|-|1 H6|1|protein-coding	4.66344822091827	1.60480270227819e-14	5.39788503341192
NM_011121	Plk1|Plk|STPK13|-|7 F3|7 65.52 cM|protein-coding	4.63495432741973	7.40851258934223e-15	6.17843627752368
NM_027014	Gins1|2810418N01Rik|Gins4|PSF1|mKIAA0186|RP23-193L22.1|2|2 H1|protein-coding	4.61523918615318	1.3197691511347e-12	3.68344526575604
NM_025979	Mastl|2700091H24Rik|C88295|GW|GWL|MAST-L|THC2|-|2 A3|2|protein-coding	4.61378306778629	6.533167528960781e-14	4.78031599573936
NM_025495	Cenpp|1700022C02Rik|4921518G09Rik|-|13|13 B1|protein-coding	4.5392619344725	1.18671170669411e-10	2.7044146100326096
NM_001033244	Fancd2|2410150O07Rik|AU015151|BB137857|FA-D2|FA4|FACD|FAD|FANCD|-|6 E3|6|protein-coding	4.52086047781278	3.4683216640743106e-13	4.42351855798163
NM_010790	Melk|AI327312|MPK38|mKIAA0175|RP23-382O11.1|4 B1|4 23.46 cM|protein-coding	4.5183107803087905	1.4230331515257302e-13	5.0019375131334805
NM_026560	Cdca8|4831429J16Rik|AU044747|BOR|Borealin|D4Ertd421e|DasraB|MESRGP|RP23-168M5.8|4 D2.2|4 57.93 cM|protein-coding	4.51320558660066	2.08702510442967e-14	6.6136643378337805
NM_009791	Aspm|Calmbp1|D330028K02Rik|MCPH5|Sha1|AC158946.1|1 F|1|protein-coding	4.4998324958517495	2.8009891714146705e-14	6.31806388053968
NM_028222	Cdkn3|2410006H10Rik|KAP|-|14|14 C1|protein-coding	4.49974930471149	8.045466129606851e-13	4.176046972494371
NM_011497	Aurka|AIRK1|ARK-1|AU019385|AW539821|Ark1|Aurora-A|Ayk1|IAK|IAK1|Stk6|-|2 H3|2 94.84 cM|protein-coding	4.471297684924691	9.214711712861601e-14	5.54859426228905
NM_199007	Sgol2|1110007N04Rik|4932411A20Rik|5730576N04Rik|AU018846|AV008062|D1Ertd8e|Tripin|-|1 C1.3|1 28.86 cM|protein-coding	4.46238625266745	2.0731135212166e-13	5.08275134597805
NM_009773	Bub1b|AU045529|BUBR1|RP23-204G5.1|2 E5|2|protein-coding	4.44841887012291	4.5564521223827396e-14	6.54252231302697
NM_011452	Serpinb9b|1600019A21Rik|R86|SPI-CI|Spi10|ovalbumin|RP23-391I11.4|13 A3.3|13 13.79 cM|protein-coding	4.443151554548019	3.53559718592867e-12	3.79164642397688
NM_001040435	Tacc3|Aint|C86661|Eric1|-|5 B2|5|protein-coding	4.44169849703621	5.1039721780410895e-14	6.48919917312487
NM_029971	Pmch|A230109K23Rik|-|10 C2|10 43.7 cM|protein-coding	4.44077036993471	7.12242216926127e-10	2.46428862697436
NM_011015	Orc1|AA545195|MmORC1|Orc1l|RP23-406B13.5|4|4 D|protein-coding	4.43641439210665	2.1427255313616397e-11	3.26981591786685
NM_144553	Dlgap5|C77459|C86398|Dap-5|Dlg7|Hurp|mKIAA0008|-|14 C1|14 24.6 cM|protein-coding	4.4254706457348005	1.07148243633279e-13	5.8068675649091395
NM_023209	Pbk|2810434B10Rik|AW538537|D14Ertd732e|TOPK|-|14 D1|14 34.36 cM|protein-coding	4.42259633301802	1.77775526645649e-12	4.10268231342982
NM_009860	Cdc25c|Cdc25|-|18 B1|18 18.71 cM|protein-coding	4.41806045278015	1.8605313820501104e-12	4.09837518285334
NM_016662	Mxd3|4631412E13Rik|Mad3|bHLHc13|-|13 B1|13 29.8 cM|protein-coding	4.41148312235189	1.9910583399571398e-13	5.43444074941388
NM_025581	Ska1|2810433K01Rik|AV117428|-|18 E2|18|protein-coding	4.40791822182859	1.2499076073293699e-11	3.48656140838872
NM_172578	Mis18bp1|6720403H11|C79407|Knl2|mKIAA1903|-|12 C1|12|protein-coding	4.407689762228849	3.45562773277525e-13	5.10552612275841
NM_198605	Ska3|F630043A04Rik|-|14 C3|14|protein-coding	4.38981231437804	7.37701218068291e-13	4.792545230524509
NM_008652	Mybl2|B-Myb|Bmyb|RP23-335N12.7|2 H2|2 84.0 cM|protein-coding	4.369920513591921	8.630146768734341e-13	4.80319550529402
NM_025639	Cenpm|2610019I03Rik|AI853711|Pane1|-|15 E2|15|protein-coding	4.3648904851295	3.79818146551831e-12	3.9978568470563705
NM_030159	Troap|AW476063|E130301L11Rik|tastin|-|15|15 F3|protein-coding	4.3626222362247695	2.1654966774388997e-12	4.2303481083107295
NM_001079876	Gas2l3|8430435B07Rik|Gm240|-|10 C2|10|protein-coding	4.3403186202882	2.48935145765078e-12	4.2518747030250195
NM_023223	Cdc20|2310042N09Rik|C87100|p55CDC|RP23-145E1.5|4 D2.1|4|protein-coding	4.25064376259892	4.08881345516364e-13	6.46947382578392
NM_009104	Rrm2|AA407299|R2|-|12 A1.3|12 8.5 cM|protein-coding	4.24334166185694	2.3863160569791e-13	7.9846575641268895
NM_011623	Top2a|Top-2|RP23-333D2.5|11 D|11 62.91 cM|protein-coding	4.22581942339477	2.26131486641613e-13	8.967536630055509
NM_001177626	Ect2|AI528536|mKIAA4037|-|3|3 B|protein-coding	4.22386410999813	1.06035710721265e-12	5.60002194452357
NM_010931	Uhrf1|AL022808|ICBP90|Np95|RNF106|-|17|17 D-E1|protein-coding	4.19625609500617	6.24468026780187e-13	6.75790175575876
NM_024241	Kif24|4933425J19Rik|9430029L23Rik|RP23-328E6.6|4|4 B1|protein-coding	4.16172502608696	6.37537550540879e-10	2.9203485777156497
NM_008021	Foxm1|AA408308|AW554517|BB238854|Fkh16|Foxm1b|HFH-11B|MPHOSPH2|Mpm2|WIN|-|6 F3|6 62.98 cM|protein-coding	4.15865932018187	9.500714814416448e-13	6.722309013416259
NM_001004140	Ckap2|AI461656|AW228814|LB1|-|8 A2|8|protein-coding	4.14702647790137	3.1028714862186897e-12	5.3134443475693
NM_001164362	Cep55|1200008O12Rik|2700032M20Rik|-|19|19 C3|protein-coding	4.1411398330599	1.9128837506721496e-12	5.81173902842042
NM_144818	Ncaph|A730011O11Rik|Brrn1|HCAP-H|mKIAA0074|-|2 F1|2|protein-coding	4.125144469662009	1.51120696358916e-12	6.4886626504107
NM_172616	C330027C09Rik|AA408511|AU018569|Cip2a|Kiaa1524|-|16 B5|16|protein-coding	4.09968139937301	2.34230755093214e-12	6.08614004779601
NM_029835	Ticrr|5730590G19Rik|BC028450|Lrrk1|-|7 D3|7|protein-coding	4.0715043751442	4.68545886083392e-12	5.62885356612345
NM_178609	E2f7|A630014C11Rik|D10Ertd739e|-|10 D1|10 57.74 cM|protein-coding	4.06773287295561	1.15071584886082e-11	4.944660101958419
NM_026507	Zwilch|2310031L18Rik|-|9|9 D|protein-coding	4.0587793326025805	1.48347805704392e-11	4.8232115006681395
NM_010655	Kpna2|2410044B12Rik|IPOA1|PTAC58|Rch1|RP23-170A23.5|11 E1|11|protein-coding	4.04823516918104	2.34348394174567e-10	3.48025827970675
NM_019412	Prx|L-Periaxin|-|7 A3|7 15.91 cM|protein-coding	4.03279509552876	5.28833596202878e-09	2.59889108429639
NM_001198914	Myb|AI550390|M16449|c-myb|-|10 A3|10 9.75 cM|protein-coding	4.0118782886527695	4.4338584941340897e-11	4.3111228054307995
NM_028390	Anln|1110037A17Rik|2900037I21Rik|C78101|Scraps|-|9|9 A4|protein-coding	3.9966026045442002	2.1427255313616397e-11	4.98265888617447
NM_013882	Gtse1|B99|Gtse-1|-|15 E2|15 40.42 cM|protein-coding	3.99327410740856	1.4534725556629201e-11	5.320095740224611
NM_009764	Brca1|-|RP23-328K2.8|11 D|11 65.18 cM|protein-coding	3.9899045108407796	1.45616277179179e-11	5.34851658703853
NM_001166407	Kif20a|AA415432|Rab6kifl|-|18 B1|18 18.69 cM|protein-coding	3.97718851759417	6.5862001728316596e-12	6.7519630287788095
NM_001081656	Neurl1b|C230078M08Rik|EG240055|-|17 A3.3|17|protein-coding	3.9692100215264796	1.18671170669411e-10	4.02345822943048
NM_011234	Rad51|AV304093|Rad51a|Reca|RP23-15I21.4|2 F1|2 59.92 cM|protein-coding	3.96917675985071	1.22802012327543e-11	5.73484220370869
NM_007659	Cdk1|Cdc2|Cdc2a|p34<CDC2>|-|10 B5.3|10 36.07 cM|protein-coding	3.9684001381439398	8.7430523948642e-12	6.317633926959389
NM_024184	Asf1b|1700003K02Rik|AA409591|-|8 C3|8|protein-coding	3.96602262925391	6.89615979986087e-12	6.886219084369269
NM_178309	Brip1|3110009N10Rik|8030460J03Rik|Bach1|FACJ|Fancj|OF|RP23-36C4.3|11 C|11|protein-coding	3.96444390037971	3.88241657123911e-11	4.80358005954389
NM_183089	Dscc1|2010006I05Rik|2600005O03Rik|Dcc1|-|15 D1|15|protein-coding	3.9381719330464797	4.716553508575361e-09	2.80356733029289
NM_007634	Ccnf|CycF|Fbxo1|-|17 A3.3|17 12.32 cM|protein-coding	3.9046168254055797	2.35926395321335e-11	5.732133340623361
NM_027667	Arhgap19|4933411B03Rik|AI120128|AW546831|mFLJ00368|-|19|19 D1|protein-coding	3.89903466686235	1.53423783756516e-11	6.58179870085842
NM_001163359	Fignl1|-|RP23-373H2.1|11|11 A2|protein-coding	3.8907682050018297	3.12448172384007e-11	5.588884376962559
NM_016957	Hmgn2|HMG-17|Hmg17|RP23-256C7.5|4 D3|4 66.47 cM|protein-coding	3.88640190580518	2.76477692455129e-10	3.9843553134451097
NM_172301	Ccnb1|Ccnb1-rs1|Ccnb1-rs13|CycB1|Cycb-4|Cycb-5|Cycb1-rs1|-|13 D1|13 53.23 cM|protein-coding	3.8612269897839	2.35997945102862e-10	4.1704875833423
NM_009843	Ctla4|Cd152|Ctla-4|Ly-56|CH29-120A16.2|1 C|1 30.58 cM|protein-coding	3.8533868080987697	8.52433583558657e-11	5.03789889368413
NM_001199123	Spc25|2600017H08Rik|2610205L13Rik|Spbc25|RP23-431D4.3|2|2 C3|protein-coding	3.8403296229044597	1.02769964832432e-10	4.989833395770611
NM_028481	Ccdc18|1700021E15Rik|4932411G06Rik|NY-SAR-41|-|5|5 E5|protein-coding	3.8366871286080197	1.00017614543031e-07	2.18457918276384
NM_011267	Rgs16|Rgs14|Rgsr|-|1 G3|1 65.43 cM|protein-coding	3.8249747244606103	1.69838437807638e-09	3.4401602265079396
NM_029977	Polq|A430110D14Rik|-|16 B3|16 26.32 cM|protein-coding	3.81371286398742	1.08606630087245e-10	5.168126260077781
NM_001081099	Clhc1|2610002D18Rik|Aunip|-|4 D3|4|protein-coding	3.6945865461732597	2.45101295937818e-07	2.17655899301254
NM_001195298	Kifc1|100042970|Gm4137|HSET|KNSL2|Kifc5a|Knsl2a|Tctex-7|Tctex-7A|Tctex7|Tctex7a|-|17 B1|17 17.98 cM|protein-coding	3.6921834295931806	3.40043647105436e-10	5.260912049772281
NM_175382	Fam72a|2700049P18Rik|P17|-|1 E4|1|protein-coding	3.68325975533157	1.1445015553286999e-08	3.14231320953236
NM_183287	2610318N02Rik|AL033325|-|16 A3|16|protein-coding	3.67400883706028	1.0775381976784099e-08	3.19175020756437
NM_001293623	Hmgb3|Hmg2a|Hmg4|RP23-478M17.2|X|X A1|protein-coding	3.63331281689536	2.92608531974191e-07	2.2328145679447
NM_001042653	Oip5|5730547N13Rik|Lint-25|Ms18b|RP23-22A15.3|2 E5|2|protein-coding	3.61751696762375	1.2804174288888998e-08	3.30095775122711
NM_009015	Rad54l|RAD54|RP23-383D12.1|4 D1|4|protein-coding	3.5851098405609103	1.5380589199226999e-09	4.85861498553059
NM_011634	Traip|Trip|-|9 F1-F2|9 59.07 cM|protein-coding	3.5632773043274506	3.5885578754984996e-09	4.38608596785685
NR_075088	Cenpk|B130045K24Rik|BB232189|C530004N04Rik|Cenp-K|Solt|Solzt|-|13 D1|13|protein-coding	3.5593128397259997	3.52558203827667e-08	3.08693468178751
NM_181416	Arhgap11a|6530401L14Rik|mKIAA0013|RP23-288M21.5|2 E4|2|protein-coding	3.54282290929784	7.22801033245818e-10	6.71777828541936
NM_001110162	Cdca2|2610311M19Rik|AI586158|-|14 D1|14|protein-coding	3.52127863312234	2.1571194700788895e-09	5.157143768494571
NM_139303	Kif18a|AU024633|B130001M12Rik|RP23-206C1.1|2 E3|2|protein-coding	3.5167288052544703	4.0803191681136895e-09	4.61627219938634
NM_027354	Poc1a|2510040D07Rik|Wdr51a|-|9 F1|9|protein-coding	3.51359609605259	3.6619261192544804e-09	4.72380156727698
NM_024245	Kif23|3110001D19Rik|C87313|CHO1|Knsl5|MKLP-1|MKLP1|-|9 B|9|protein-coding	3.4909778959311497	1.528868816805e-09	6.34078458631981
NM_177331	Gen1|5830483C08Rik|-|12 A1.1|12|protein-coding	3.4801391060897404	1.7374460801467e-08	3.7186962820681204
NM_032393	Map1a|6330416M19Rik|AI853608|Mtap-1|Mtap1|Mtap1a|moth1|-|2 E5|2 60.37 cM|protein-coding	3.4775669867974	1.11794422421058e-06	2.0925262631161003
NM_019670	Diap3|4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2|-|14|14 D3|protein-coding	3.45382728762052	6.56984452163156e-09	4.70414930466872
NM_001301368	Cdkn2c|C77269|INK4c|p18|p18-INK4c|p18-INK6|p18INK4c|RP23-320F19.3|4 C7|4 51.32 cM|protein-coding	3.45160736366267	3.5794489043781898e-09	5.53303784198139
NM_013733	Chaf1a|AL023013|AL024058|CAF-1|Cac1p|-|17|17 D|protein-coding	3.4266991251889505	3.9873226913259706e-09	5.718073233482441
NM_001034882	Zbtbd6|EG432879|Gm5465|-|14 D3|14|protein-coding	3.41832104657348	1.93459546550186e-06	2.0395613035693403
NM_019499	Mad2l1|AA673185|MAD2|-|6 C1|6 30.56 cM|protein-coding	3.40781953078416	3.34068422708617e-09	6.571212619228049
NM_009862	Cdc45|Cdc45l|-|16 A3|16 11.63 cM|protein-coding	3.3568269610334904	8.473428260009692e-09	5.611716474327579
NM_176933	Dusp4|2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2|-|8 A4|8|protein-coding	3.3491617349053597	1.0336473312479699e-07	3.37450907770605
