id	sequence_identifier	chr_name	transcription_start	transcription_end	strand	score	rpkm	gene_peak_id	gene_peak_start	gene_peak_end	gene_peak_tag_count	tss_peak_id	tss_peak_start	tss_peak_end	tss_peak_tag_count
142964	NM_001002764	chr11	74926229	75164343	0	0.41755962874673255597159461660497578	0.15532993593202016905								
413218	NM_001002786	chr17	29138277	29145381	0	0.0202656168614631949052081422907545	0.01055730806771841826								
733725	NM_001002787	chr4	43983484	43985431	0	0.543496380653650584983812529442691056	0.33522864251505693936								
416316	NM_001002842	chr17	33638010	33645702	0	0.22667619602604289605939091456682253	0.11700456075050985906								
295857	NM_001002846	chr9	20638505	20644816	1	5.14251783738506868441302053510512	2.7164652992334634								
61383	NM_001002895	chr17	27563910	27565164	1	0.082376008989436860140566833051699192	0.05449495871702180056								
317495	NM_001002896	chr9	103425699	103479076	1	0.065334304673922815664119228897142843	0.02765044851389657853								
628883	NM_001002897	chr5	24384136	24391089	1	0.230229985375593996241243768273786824	0.12023831556197794866								
414685	NM_001002900	chr15	100369395	100384246	0	0.008044615478769733100983509582018849	0.00386212892569355577								
160144	NM_001002929	chr11	115564531	115583850	0	3.6064200125571718377156285976074	1.684657346674079								
702990	NM_001003666	chr13	67292923	67306213	1	0.03587715570486894960699282645567861	0.01742890091751524265								
95538	NM_001003671	chr18	36982081	37841829	0	0.11751969824402315135795805262195978	0.03960712457696394895								
484770	NM_001003672	chr18	36982081	37841830	0	0.083211622777611592074372995545123152	0.02804442896160758399								
678474	NM_001003717	chr10	111164837	111297248	0	1.359095607183455642690738008234922115	0.53076497626086304635	200	111214790	111214972	64.3				
116225	NM_001003719	chr12	55694494	55821398	1	0.359936732778506679008918669698907745	0.14107438010798858895								
569555	NM_001003817	chr11	98412545	98437757	0	0.059266073108321836736457436843909773	0.02695035886822031991								
757923	NM_001003893	chr4	148604572	148615522	0	2.06290606539525456899065634557708	1.0234067880220124								
823096	NM_001003898	chr4	148612430	148626758	1	14.826720173092200203052786611419	7.145215467380909								
823096	NM_001003899	chr4	148612430	148626758	1	14.826720173092200203052786611419	7.145215467380909								
183285	NM_001003908	chr11	86695755	86757424	1	5.11980904826097289870920977699355	2.1383040821216165								
627851	NM_001003909	chr5	3689996	3803169	1	1.50080532162126405475268639390558598	0.59402798562951472527								
675571	NM_001003910	chr10	86705810	86776801	0	0.070762776897986314881228285815849384	0.02918062172624664467								
397824	NM_001003912	chr3	87619812	87737898	0	0.124498794618987332779028455478303534	0.04909775464698615631								
241686	NM_001003913	chr10	127296227	127311560	1	7.3134730235516511675652363572384	3.499308124731952								
854293	NM_001003916	chrX	95639263	95658409	1	0.13849626714201781129635189797999397	0.06475509400563491974								
784988	NM_001003917	chr1	75180864	75192060	1	3.61183621743713250131900404696722	1.7874739581121422								
282425	NM_001003918	chr16	8689282	8738365	1	5.26074642430142160262955376953925	2.2437873170753487								
420911	NM_001003919	chr17	66123599	66152212	0	1.338805957224481006117432990097032148	0.60123328816544425622								
312414	NM_001003920	chr7	4696545	4713559	0	0.012327847816311391727793986549609616	0.00583470522886600278								
36982	NM_001003933	chr19	7425924	7483047	1	1.046544750290652079507845563594878343	0.44015972092677915887								
424261	NM_001003934	chr19	7425897	7483222	1	3.36116013264726508139494975003223	1.4131921622598403								
203937	NM_001003939	chr10	86705810	86768752	0	0.087525086396293834182107450565363945	0.03648729356803965315								
699293	NM_001003949	chr10	79697267	80347694	1	14.78107742060617013511297142431795	5.0854672102987335	873	79984959	79985141	34.3	873	79984959	79985141	34.3
705992	NM_001003950	chr10	116905781	116950368	1	1.28606428763221880755818112651302789	0.55347139784594173662	285	116913993	116914175	56.8				
222452	NM_001003953	chr5	122871254	122965992	1	0.678742979567059405771200207085007868	0.27282799197810603102	169	122989053	122989235	68.6	169	122989053	122989235	68.6
587032	NM_001003955	chr6	85335291	85374607	1	0.011338278318434198147410145806865499	0.00493788145545502977								
56329	NM_001003960	chr2	153649638	153686612	0	0.27254651215346799077883459855745822	0.1193925604073498498								
477715	NM_001003961	chr2	153649463	153687689	0	0.368869028611035956493341829076246737	0.16107494059080505143								
477715	NM_001003963	chr2	153649463	153687689	0	0.368869028611035956493341829076246737	0.16107494059080505143								
275292	NM_001003971	chr16	56075394	56186112	0	0.895155804051149124299790670343824416	0.35497848531326993051								
743831	NM_001003972	chr16	56075394	56190017	0	1.111524412799712532134452565244878329	0.43946650182029301347								
743831	NM_001003973	chr16	56075394	56190017	0	1.111524412799712532134452565244878329	0.43946650182029301347								
802361	NM_001004025	chr4	49661597	49684454	1	0.08869371408011167109339952207164175	0.0407298285997447295								
246227	NM_001004062	chr8	70384937	70420883	1	0.455774657734184490878767515407956275	0.20019796792709250009								
518778	NM_001004066	chr12	116047764	116063222	0	2.88875152723367494352571716133248	1.3810127996392081								
739971	NM_001004139	chr7	39517744	39540378	0	0.11110685553691254678437846649466089	0.05107273883792282346								
655035	NM_001004140	chr8	22168148	22185758	1	1.608645815288484999505963600982823576	0.75864781146278892767								
610892	NM_001004143	chr11	61151788	61175010	1	3.943034816972905385716015864584	1.80783514925148	1987	61175115	61175297	21.4	1987	61175115	61175297	21.4
566127	NM_001004144	chr11	77493442	77507809	0	5.8508966143997372844330689975886	2.8188204015632705								
849095	NM_001004154	chrX	153139980	153171845	0	0.584071497379167833470506257619295992	0.25955311687124712372								
169110	NM_001004155	chr14	70154795	70158596	1	1.38992702053042010766365840940210982	0.7816167236831599534								
565591	NM_001004157	chr11	75516140	75526558	0	0.139231167783752991256179743030904594	0.06945222532741007891								
204029	NM_001004164	chr10	88379385	88445866	0	4.50882574741854537491988557317224	1.8703405061020748								
472028	NM_001004174	chr2	122637864	122640661	0	0.79425047030465898508167097766272339	0.46520316564849076742								
441357	NM_001004176	chr3	51687742	52104924	1	0.019942506320256768429851258500995902	0.00709682788861941271	358	52104896	52105078	51.4	358	52104896	52105078	51.4
460234	NM_001004177	chr3	108391003	108415495	1	0.412593204115547270194208785300411373	0.18816325506250300513								
813438	NM_001004178	chr4	119530319	119538817	1	0.398781237117684989257524258959871323	0.20351039318042004923								
611289	NM_001004180	chr5	114569578	114613138	0	0.075503640340889372562022862687485245	0.03256503069191182203								
750727	NM_001004185	chr7	81571249	81596837	0	2.23652852649045372566409699543968	1.0155316599034978								
758679	NM_001004187	chr7	119794148	119848978	0	0.948974078134355056263840016498670774	0.40062744788912059691	1765	119836427	119836609	22.5				
826982	NM_001004190	chr9	20345179	20385072	1	0.260416297744200066273167003489494555	0.11325587216837370035								
270929	NM_001004191	chr9	48495318	48495892	0	0.138265035353830203104648799130149486	0.10743073488449627319								
732537	NM_001004194	chr7	23307727	23354153	0	0.004100921024497717374114908964251821	0.00175820480436850033								
408745	NM_001004293	chr3	108186382	108192275	0	1.9243758494148851174634049138923	1.0248532252254515								
538789	NM_001004357	chr6	45162783	47046905	0	0.006458565739378415113184098628009643	0.00205848629305428759								
848257	NM_001004359	chrX	135742755	135803465	0	1.29395059000634471657755961151542014	0.54119423663810731108								
496364	NM_001004361	chr18	25128063	25168910	1	0.71716852465674516766339021086177662	0.31120087998937596845								
699236	NM_001004362	chr10	79064381	79097546	1	0.634583746689127054625437841981361785	0.28090944708318540815								
701138	NM_001004363	chr10	84371705	84413160	1	0.0060177562392731542653374877618694	0.0026076364573891445								
498277	NM_001004364	chr12	21111804	21270221	0	0.133154778211609032944382817871769776	0.05122070581591489052								
597361	NM_001004365	chr5	25762167	25850222	0	0.013067432010362266764621767689187116	0.00528642240240849577								
139899	NM_001004435	chr11	68510795	68539907	0	0.037355535782382237367408304683015	0.01674725654647085								
546283	NM_001004436	chr14	34673920	34747987	0	2.8291520647385769629896293852735	1.1622378293479354								
339063	NM_001004468	chr7	130645153	130751308	0	0.08610559881264782579670990457962468	0.0342700288285660638								
520975	NM_001004721	chr2	155278230	155357355	1	0.412017867215792923108013964799020584	0.16826602005980634404								
730175	NM_001004762	chr7	13325661	13360663	0	0.030056116635039203449305050019017664	0.01323586675968888882								
619816	NM_001005223	chr11	84910945	84916322	1	2.63054049903613468685471917611624	1.4164920465972164								
361014	NM_001005247	chr7	46761176	46795930	1	1.619809395535894468503973744488084954	0.71380654676746649033								
810366	NM_001005248	chr7	46760467	46795930	1	1.844540363481307926213564171537818391	0.81126275220395697231								
734825	NM_001005331	chr16	20672767	20692885	0	20.9524442231697128937942815200395	9.7469832101051895								
620562	NM_001005341	chr11	86936489	86993680	1	0.060081287655288283596380339019207688	0.02526645867421105906								
462503	NM_001005342	chr2	84734678	84737567	0	0.05105495314777781838251148222836904	0.02977180214761281426								
849150	NM_001005370	chrX	153832308	153834231	0	1.07995806606367091619874749134615931	0.66735401375662083873								
377852	NM_001005385	chrX	135742830	135795414	0	0.969463054447091995812157391906168988	0.41085846205886143659								
697239	NM_001005419	chr10	67544471	67549000	1	6.11000266077104135135574150094097	3.3603866339817011	1061	67549538	67549720	31.1	1061	67549538	67549720	31.1
270510	NM_001005421	chr9	45086909	45107634	0	1.043813064844530048299945935994963337	0.48410918445507748027								
490543	NM_001005424	chr2	25575521	25580124	1	0.257546252839242019048104152503848597	0.14135951970943496607								
618357	NM_001005426	chr5	137787848	137822601	0	0.2333623351222957642411263944776485	0.10283680557315938814	979	137787476	137787658	32.1	979	137787476	137787658	32.1
849027	NM_001005475	chrX	152182179	152224403	0	0.010266660927918985173170062995182589	0.00444107009006153723								
816485	NM_001005506	chr4	129626073	129641020	1	4.3920404195082343290631720272258	2.1071343660855804								
796858	NM_001005507	chr1	152836949	152902694	1	3.01298700058325408193257127957656	1.2510985587794024								
724399	NM_001005508	chr1	171388948	171410285	0	20.13806323366765570456651784162104	9.3122616124262984								
392637	NM_001005509	chr3	58525818	58557508	0	2.82077370908474265602633197599637	1.2541826530464641	1241	58525971	58526153	27.9	1241	58525971	58526153	27.9
101949	NM_001005510	chr12	75928807	76103974	0	0.1550781400912294766025153419042658	0.05915672852177734328								
325487	NM_001005511	chr7	45783927	45798741	0	0.79044302509229362591478703957787102	0.37958281267015591145								
646672	NM_001005525	chr5	123728425	123749359	1	4.50170834874740184030627953845424	2.0857155400721986								
131175	NM_001005605	chr6	140622730	140674900	0	5.0561045114897544309049025710633	2.1443429524156174								
577837	NM_001005608	chr11	115988530	116008067	0	0.023232361624412382130774930247723738	0.01084000512851182718								
240488	NM_001005740	chr13	42810479	43100525	0	0.002139647984999094760578319527761979	0.00078344264322854717								
765132	NM_001005767	chr16	20279828	20302310	1	2.029570563502878774702760373037203088	0.93357077207919171839								
313992	NM_001005784	chr4	98395989	98631230	0	0.070949160858924520628901038038779786	0.02641863312150511133	1040	98436624	98436806	31.1				
741829	NM_001005787	chr4	98395839	98719591	0	0.085850546071329674574148796843689308	0.03116203132926411243								
813862	NM_001005788	chr4	120930131	120951640	1	0.44906543802657710523251389310042115	0.20748840503755425615								
415974	NM_001005846	chr3	146149854	146195511	0	1.226200763321392688714840759503636167	0.52653643303857299011								
638660	NM_001005847	chr8	53511783	53523429	0	1.34692820670561616097396717642406405	0.66372531444419498347								
395599	NM_001005858	chr19	34607950	34613392	0	0.639987670686282469387736805414931282	0.34411825806566079746								
75972	NM_001005859	chr3	130726885	130730311	1	18.22194782099256380692118244186825	10.3864302290655733								
548693	NM_001005860	chr6	122994675	123024210	0	0.00283635465287002238639129772565962	0.00126980081631127035								
222452	NM_001005866	chr5	122871254	122965992	1	0.678742979567059405771200207085007868	0.27282799197810603102	169	122989053	122989235	68.6	169	122989053	122989235	68.6
552886	NM_001005867	chr11	6395117	6406203	0	20.8578662553733299457332516798733	10.3335845669957614								
264325	NM_001005868	chr13	103820157	103920617	1	2.184349517749661704489535552134436772	0.87354203160409381819								
411538	NM_001005916	chr17	26973229	26976248	0	9.7328024496185641226603478812952	5.6417969509218864								
479048	NM_001006664	chr2	156432003	156542576	0	0.015142561106461210412829816356799079	0.00600553683510402611								
628066	NM_001007220	chr5	8072507	8367255	1	0.00749130611332026232677986529700777	0.00273947350802138185								
628066	NM_001007221	chr5	8072507	8367255	1	0.00749130611332026232677986529700777	0.00273947350802138185								
769426	NM_001007460	chr16	43969144	43977904	1	0.160919799043648354483025893966424253	0.08184045600445252923								
799480	NM_001007463	chr4	43651433	43653429	1	0.032358881075914518391224742984483626	0.01988532988866400354								
618533	NM_001007465	chr11	82803819	82871097	1	0.496176827964718464124648629311565264	0.20560154460335223946								
253705	NM_001007567	chr8	106200454	106210837	1	2.5626358530614556205379174032604	1.2787864438769992								
437889	NM_001007568	chr15	76852149	76871411	1	2.2225888212343400716853821090061	1.0385465006215691								
246089	NM_001007570	chr8	70186435	70212156	1	0.14778999288898989501171493941723692	0.06707186446956711485								
249610	NM_001007571	chr8	84246306	84249712	1	1.023922150376902182113554861994433468	0.58408057620701069334								
814752	NM_001007573	chr4	124855238	124862183	1	0.314987969564823204637897928079653974	0.16452554597377326598								
608809	NM_001007574	chr5	107497761	107510967	0	0.29242650468071470906678962993711533	0.1421555245252954031								
703048	NM_001007575	chr13	67490168	67500431	1	1.225158874344550152188669078083821612	0.61215542341767027948								
858378	NM_001007577	chrX	166499818	166510456	1	0.940833207778879782849084347599516035	0.46823242865631079815								
856168	NM_001007578	chrX	134748480	134751226	1	0.157288104785510524794520746165048084	0.09235864247019236659								
522559	NM_001007581	chr2	165490099	165493308	1	3.75944981050880303111216876277456	2.1614937160297168								
206092	NM_001007583	chr10	116987197	117023965	0	0.057769715441133729802503751373312868	0.02532030846998735412								
621967	NM_001007584	chr11	94695357	94704298	1	0.048137400369937853019220196633035473	0.02442524276807661417	473	94697838	94698020	46.1				
730643	NM_001007589	chr4	34550610	34566954	0	5.59403565994531213248318063461842	2.6587381550911471								
754963	NM_001008232	chr4	136206482	136246280	0	0.01223338311183298859206789476230119	0.00532154124980185643								
368209	NM_001008233	chr4	156222355	156228221	1	2.2186778589076551468366437068708	1.1822377128989771								
781107	NM_001008238	chr9	69989426	70011704	0	5.86824812432304542195319144552684	2.7017845089360943								
714565	NM_001008419	chr1	58298873	58368268	0	0.009463061578467641506346688185337405	0.00391029059142251871	1699	58303771	58303953	22.5				
497434	NM_001008421	chr12	17348498	17430096	0	0.506837587610524889963250278467860448	0.20642512906530682328								
809381	NM_001008422	chr7	45002942	45016299	1	9.69071770127526806754554946555218	4.7051570715289346								
456247	NM_001008425	chr17	23668596	23673814	1	4.11963318877475567392213896348665	2.2264573561305469								
807886	NM_001008427	chr7	42660218	42692721	1	0.05417260721895349656630309432112456	0.02402729124079148108								
444017	NM_001008497	chr3	59114623	59143694	1	0.166198168524631100056301360393757216	0.07452035887811888304								
491582	NM_001008498	chr2	30031590	30048760	1	0.155967818189614496166978410403158114	0.07374875006994349883								
407327	NM_001008501	chr17	21707732	21725532	0	0.52432905948704758991687868301486572	0.24700244851665760476								
390080	NM_001008502	chr3	37312529	37321418	0	1.100196501278829285966937698772712232	0.55861435774295210826								
514370	NM_001008506	chr12	98746951	98787824	0	2.98743500053059027213100734441479	1.2962593267174609								
402386	NM_001008542	chr19	53310556	53373291	0	0.625476177632162962946575407182645408	0.26082535908240631576	952	53312990	53313172	33.2				
402386	NM_001008543	chr19	53310556	53373291	0	0.625476177632162962946575407182645408	0.26082535908240631576								
366111	NM_001008545	chr4	148614278	148622022	1	18.84975010289050204907549258389536	9.7222313340269152								
823096	NM_001008546	chr4	148612430	148626758	1	14.826720173092200203052786611419	7.145215467380909								
652557	NM_001008547	chr5	146182512	146184925	1	0.0611434967324539772854505396796388	0.03655620343152169315								
332967	NM_001008548	chr7	101451420	101512635	0	2.060327755853771093092372822431042024	0.86108117476423060323	94	101466284	101466466	86.8				
740675	NM_001008549	chr7	43562358	43575441	0	1.172934289756976336324184327197157793	0.57076390086804885397	1621	43562249	43562431	23.6	1621	43562249	43562431	23.6
531007	NM_001008550	chr12	79232346	79295790	1	0.960855525959385518250722589306354601	0.40027089482559474773								
759774	NM_001008700	chr7	125552311	125579520	0	4.59910103763250956716887419182916	2.0756292559192854	445	125552155	125552337	47.1	445	125552155	125552337	47.1
621156	NM_001008705	chr5	145140386	145148124	0	9.98593143986012526416916885747216	5.1509535214086298								
543944	NM_001008785	chr6	95117987	95129713	0	0.86651098826904711172042338691271717	0.42667233540081981095								
804859	NM_001008791	chr4	63414952	63495881	1	0.04427677338879256836227002261898565	0.0180462433292366889								
804859	NM_001008792	chr4	63414952	63495881	1	0.04427677338879256836227002261898565	0.0180462433292366889								
804859	NM_001008793	chr4	63414952	63495881	1	0.04427677338879256836227002261898565	0.0180462433292366889								
518614	NM_001009545	chr12	113489514	113491826	0	0.282248248795997388850866585178453918	0.16977851453628857954								
387387	NM_001009546	chr19	6106086	6115584	0	0.07603855035195468798600690920036982	0.03832166909361355305								
190289	NM_001009573	chr11	116062281	116077927	1	15.28589676445613407895557573659176	7.2983841029545916								
848257	NM_001009575	chrX	135742755	135803465	0	1.29395059000634471657755961151542014	0.54119423663810731108								
188483	NM_001009818	chr5	93093433	93174900	0	3.88945428476686704362381411440944	1.5843250496426451								
751665	NM_001009819	chr4	128759423	128769291	0	0.069491185497938507840694377862520865	0.03487304010805594609								
563313	NM_001009927	chr11	60728387	60732953	0	4.44448814976753023857538482801668	2.4419035611346068								
403857	NM_001009935	chr3	96559557	96561865	0	227.121526597922081592150745843638	136.6524032462104025	12	96557745	96557927	151	680	96557047	96557229	38.6
373891	NM_001009947	chrX	35888825	36010000	0	1.51284372879928155692449408815095264	0.59529146349349748087								
800370	NM_001009949	chr4	45395969	45408812	1	8.49353936187196532633554515101004	4.1412864689112564	604	45409412	45409594	40.7	604	45409412	45409594	40.7
657306	NM_001009951	chr8	56531557	56550612	1	1.080295722000602661847919318899588574	0.50534836369164770702								
642696	NM_001009981	chr8	78509283	78734002	0	0.323775848954601295362062498786870628	0.12100931348807454222								
192077	NM_001010825	chr5	113735825	113739996	0	0.600449358746546752287986592415908078	0.33367480811247911521								
752445	NM_001010826	chr7	97453312	97458739	0	0.02418060071363860423703982470580405	0.0130061422378324785								
417858	NM_001010833	chr17	35841452	35859662	0	4.59626145299400065062803828224677	2.1601318755385981								
731696	NM_001010836	chr7	19361205	19378441	0	0.090984902899099887223696990798362168	0.04300470329541244321								
580529	NM_001010930	chr6	39801937	39810924	1	0.370765118322560017035914889599905959	0.18802000754925767493								
681966	NM_001010973	chr13	54192153	54222300	0	1.464079165054174812108203471645827164	0.65413711404830752452								
368797	NM_001011782	chr7	102476724	102477884	1	0.459096665679277844742765717381085543	0.30783723866404663009								
829289	NM_001011814	chr7	140201915	140202682	1	0.19384834065415512667804317763253861	0.14075804293948486315								
775434	NM_001011874	chr1	3243592	3532597	1	0.0021050564068353318126023868713985	0.00077099733080394785								
839032	NM_001012236	chr9	109057927	109074057	1	5.8946417991362162031424789394936	2.8054740034588712								
579377	NM_001012273	chr11	117849232	117855442	0	7.43228104672862788067145791544588	3.9335198835808257								
616148	NM_001012309	chr11	77044354	77077847	1	0.496858924771960958523601388859883828	0.21973406287633686124								
517570	NM_001012310	chr12	108851544	108856805	0	0.266354714323687840099752132207836895	0.14380753303737564135								
693858	NM_001012311	chr13	21421976	21434538	1	0.067549420115007981974615967729201204	0.03301435746982080926								
719124	NM_001012322	chr1	120032851	120062662	0	0.007610710200438016059508778858933346	0.00340412170757572026								
243484	NM_001012324	chr13	49504935	49531800	0	0.018172414320579011165809592925543978	0.00821174301009578718								
702839	NM_001012325	chr13	67069445	67108551	1	0.19174508128339314209190150370609812	0.0835485500031643164								
725138	NM_001012330	chr1	177444621	177450337	0	1.7139186197511827928868338257164491	0.91611687357306303093								
508048	NM_001012335	chr2	91929834	91932347	1	1.01710363561446142132522687508068547	0.60463364292626024305								
508048	NM_001012336	chr2	91929834	91932347	1	1.01710363561446142132522687508068547	0.60463364292626024305								
210212	NM_001012363	chr5	38411592	38479818	1	0.174160761425733558643867910274795024	0.07207624502086876014								
489521	NM_001012396	chr2	14026901	14053383	1	0.006995441171143385234909999362613106	0.00316559080653659713								
813366	NM_001012400	chr4	119225136	119232631	1	1.242122624084062873858877028884327189	0.64307292241818972611								
321134	NM_001012401	chr7	30553960	30555132	0	0.19951047131211329075014310235691776	0.13353610253500061976								
752445	NM_001012434	chr7	97453312	97458739	0	0.02418060071363860423703982470580405	0.0130061422378324785								
702839	NM_001012448	chr13	67069445	67108551	1	0.19174508128339314209190150370609812	0.0835485500031643164								
262130	NM_001012449	chr13	67077638	67095615	1	0.05215235782407795363504813684830269	0.02454296225489302685								
796421	NM_001012450	chr4	32803991	32947744	1	0.007676947594861362003507337719225083	0.00297728323494242129								
796421	NM_001012451	chr4	32803991	32947744	1	0.007676947594861362003507337719225083	0.00297728323494242129								
213744	NM_001012517	chr8	31214954	31254261	0	0.00541257224254286651450483592942504	0.00235725574534135632								
79259	NM_001012518	chr2	24790997	24915525	1	0.82859428996497152173626018388457486	0.32528511455397817313								
666142	NM_001012638	chr8	105698158	105701055	1	11.45473698118869601561250237837693	6.6771185917794559								
239706	NM_001012667	chr8	22466005	22476926	1	0.848278918066294119671791937949405339	0.42095328436737085101								
738815	NM_001012765	chr16	35157555	35304126	0	0.005364697915308401408745357906315768	0.00207714317222076602								
797883	NM_001013012	chr7	6131444	6155995	1	0.79186834803943633649997856310803235	0.36104506810675296275								
388590	NM_001013019	chr19	8850927	8853754	0	0.342799840918785869495783253465387636	0.20048970559148864371								
443856	NM_001013022	chr15	89377451	89378713	1	0.050223163646705919364489426645191036	0.03318857534818238279								
627898	NM_001013023	chr5	3890648	3893401	1	0.717844641114096283063760643563595064	0.42136665844247196052								
336699	NM_001013025	chr1	43048261	43093056	1	0.979894550872565315904596188022406056	0.42152384813450505092								
456968	NM_001013026	chr3	100938855	100969547	1	1.721498258563939415607862134557324395	0.76780616365621847735								
675193	NM_001013028	chr10	85102763	85117745	0	1.7571973396597366525561626036960329	0.84282848591580597052								
