Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -rpkm -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM
NM_009285	chr14	69029289	69041401	+	3737.0	1	Stc1|Stc|-|14 D2|14|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023
NR_039557	chr5	77272757	77272838	+	81.0	1	Mir5098|mmu-mir-5098|mu-mir-5098|-|5|5 41.61 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026114	chr12	78862072	78887010	+	3142.0	1	Eif2s1|0910001O23Rik|2410026C18Rik|35kDa|Eif2a|eIF2alpha|-|12|12 D1|protein-coding	8.194	19.021	10.618	19.918	13.707	12.088	12.860	9.882	19.475	21.580	13.030
NR_028515	chr17	24719676	24719832	-	156.0	1	Snora78|ACA64|-|17 A3.3|17|snoRNA	6.811	0.793	2.536	2.796	1.936	4.050	4.638	2.745	5.223	3.744	0.813
NM_010934	chr8	66697422	66706798	+	3002.0	1	Npy1r|Npyr|Y1-R|-|8 B3-C2|8 33.15 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_008137	chr19	16435667	16610818	+	3374.0	1	Gna14|AU023208|-|19 A-B|19 11.29 cM|protein-coding	0.000	0.000	0.195	0.116	0.000	0.000	0.000	0.000	0.023	0.000	0.088
NR_030431	chr2	94261300	94261399	-	99.0	1	Mir670|Mirn670|mmu-mir-670|-|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001081068	chr16	87376651	87432606	-	7705.0	1	Ltn1|4930528H02Rik|AV266914|C87237|Listerin|Rnf160|Zfp294|-|16 C3.3|16|protein-coding	9.526	14.833	11.149	10.556	12.540	13.357	12.179	11.339	14.438	14.451	12.618
NM_029875	chr10	117733678	117746358	-	3476.0	1	Slc35e3|9330166G04Rik|AI481200|-|10 D2|10|protein-coding	2.516	2.182	2.067	1.593	1.502	1.838	1.457	2.803	1.563	1.319	1.750
NM_001001735	chr8	25602306	25677972	+	3618.0	1	Whsc1l1|6720429E03|A530023P05|AI528490|NSD3|WHISTLE|-|8 A2|8|protein-coding	43.271	39.291	46.468	39.573	52.303	50.392	51.757	40.645	40.861	35.358	54.922
NR_015524	chr10	94673493	94688613	-	4132.0	1	Cep83os|4932415G12Rik|Ccdc41os1|-|10 C2|10|ncRNA	3.293	3.142	3.478	1.646	3.520	4.112	3.438	4.236	3.568	3.175	1.841
NR_027377	chr10	77418376	77420939	+	2563.0	1	Gm17769|-|-|10|10|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_027216	chr11	113244855	113565815	-	2709.0	1	Slc39a11|1810074D23Rik|RP23-326P8.2|11 E2|11|protein-coding	3.168	3.880	5.500	4.813	6.930	7.464	7.676	3.577	3.710	3.682	4.476
NM_025607	chr6	72359714	72362381	-	1376.0	1	Rnf181|1700047F16Rik|2500002L14Rik|6230415N01Rik|C77350|-|6 C1|6|protein-coding	62.130	48.584	52.130	45.037	39.109	59.847	53.970	58.084	47.290	44.966	34.053
NM_009713	chr15	89472476	89477424	-	3480.0	1	Arsa|AS-A|ASA|AW212749|As-2|As2|TISP73|-|15|15 E|protein-coding	6.705	3.885	3.922	4.336	5.866	4.317	5.078	6.568	5.207	4.790	5.342
NM_146314	chr7	103358224	103359213	-	987.0	1	Olfr601|MOR24-3|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026679	chr14	25923298	25927672	-	2143.0	3	Tmem254a|0610008K04Rik|0610010A22Rik|AA960404|D14Ertd449e|Tmem254|-|14 B|14 15.19 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001127191	chr3	10417817	10440130	-	2531.0	1	Snx16|4930522N22Rik|AI117577|AI747675|-|3 A1|3|protein-coding	0.662	1.254	1.094	1.413	1.671	1.664	1.806	2.242	1.594	2.006	0.918
NM_176902	chr11	116434094	116439077	+	1477.0	1	Ubald2|1110014K08Rik|D030012E24Rik|Fam100b|RP23-184G6.6|11 E2|11|protein-coding	22.245	17.915	13.480	23.533	12.826	12.263	16.425	14.751	18.810	17.584	10.670
NM_001005740	chr13	42709581	43138512	+	5278.0	1	Phactr1|9630030F18Rik|Rpel1|RP23-127A20.1|13 A4|13|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001079824	chr10	63014664	63023849	-	2156.0	1	Hnrnph3|AA693301|AI666703|Hnrph3|-|10 B4|10|protein-coding	19.030	17.301	23.302	14.422	15.993	20.351	19.448	17.753	15.729	16.902	15.658
NM_001033352	chr4	152008891	152017677	+	3889.0	1	Klhl21|1810045K06Rik|D330008A20|mKIAA0469|RP23-445E20.1|4 E2|4|protein-coding	17.422	10.291	19.157	12.660	19.230	18.178	19.987	13.737	9.269	8.689	15.427
NM_008463	chr6	129898992	129913224	-	1141.0	1	Klra5|Ly49e|RP23-451F7.2|6 F3|6 63.44 cM|protein-coding	0.107	0.072	0.058	0.000	0.038	0.000	0.000	0.094	0.170	0.039	0.000
NM_001033851	chr15	90643323	90679388	-	694.0	1	Cpne8|1200003E11Rik|1500031E20Rik|-|15|15 F1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_015565	chr6	60279043	60403707	-	1446.0	1	A530053G22Rik|-|-|6 B3|6|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_011035	chr7	97842939	97912381	+	3044.0	1	Pak1|AW045634|PAK-1|Paka|-|7 E2|7 53.57 cM|protein-coding	0.121	0.014	0.000	0.100	1.304	0.023	0.000	0.088	0.153	0.015	1.221
NM_145358	chr5	122731170	122779410	-	4828.0	1	Camkk2|6330570N16Rik|AW061083|mKIAA0787|-|5 F|5|protein-coding	5.798	6.428	4.889	5.429	7.401	5.496	5.182	5.267	6.036	4.812	6.257
NM_001162479	chr9	58134665	58153997	+	2851.0	1	Stra6|AI891933|-|9|9 C|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001166630	chr17	6648947	6655831	+	686.0	2	Dynlt1c|100040603|Dynlt1d|-|17 A1|17|protein-coding	2.145	4.266	2.114	8.519	7.738	2.968	6.384	1.795	4.299	6.354	2.217
NR_035480	chr2	92191977	92192074	+	97.0	1	Mir1955|mmu-mir-1955|-|2|2 50.81 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001290716	chrX	8061171	8074313	-	3089.0	1	Suv39h1|AI852103|AL022883|DXHXS7466e|H3-K9-HMTase 1|KMT1A|mIS6|RP23-27I6.1|X A1-A2|X 3.64 cM|protein-coding	8.626	29.234	8.964	17.760	12.741	9.773	9.678	9.601	22.736	20.088	13.254
NM_001256224	chr14	28511405	28525515	+	3724.0	1	Wnt5a|8030457G12Rik|Wnt-5a|RP24-345B5.1|14 A3|14 16.8 cM|protein-coding	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_028945	chr14	27428847	27483554	+	7550.0	1	Fam208a|4732418E12|4933409E02Rik|D14Abb1e|-|14|14 B|protein-coding	8.790	9.985	9.029	7.578	9.305	13.232	10.169	12.316	9.744	7.725	7.717
NM_001025432	chr16	4084048	4213404	-	7474.0	1	Crebbp|AW558298|CBP|CBP/p300|KAT3A|p300/CBP|-|16 A1|16 2.4 cM|protein-coding	24.709	21.132	25.643	18.841	31.093	24.629	28.392	25.169	15.616	15.841	45.626
NM_172051	chr10	94514857	94590954	+	5522.0	1	Tmcc3|AW488095|C630016B22Rik|C88213|Tmcc1|-|10 C2|10|protein-coding	0.133	0.552	0.430	0.924	0.633	0.292	0.372	0.611	0.675	0.895	0.811
NM_145227	chr5	120730333	120749848	-	3851.0	1	Oas2|Oasl11|-|5 F|5 60.64 cM|protein-coding	0.138	0.043	0.616	0.193	11.139	0.948	0.336	0.250	0.373	0.467	9.787
NM_007474	chr7	123462294	123468003	+	1478.0	1	Aqp8|AI255744|AQP-8|-|7 F3|7 67.42 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_146213	chr8	105131800	105150109	+	2417.0	1	Ces4a|Ces8|-|8 D3|8|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026793	chr10	5593728	5606791	+	2775.0	1	Myct1|1110020B04Rik|AI225941|AI642973|Mtmc1|-|10 A1|10|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026418	chr7	128373625	128418172	-	868.0	1	Rgs10|2310010N19Rik|-|7 F3|7|protein-coding	1.365	0.997	8.507	4.170	92.125	16.823	11.978	0.000	0.805	2.588	51.354
NM_028194	chr5	73020191	73256618	-	11405.0	1	Fryl|2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826|-|5 C3.2|5|protein-coding	34.523	38.506	34.563	32.931	26.649	33.720	34.337	26.304	23.159	19.872	25.755
NR_040335	chr2	116900152	116912791	+	1798.0	1	D330050G23Rik|-|RP23-326F22.3|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001033122	chr6	129267325	129275369	-	1613.0	1	Cd69|5830438K24Rik|AI452015|AIM|VEA|-|6 F3|6 63.21 cM|protein-coding	38.408	74.306	91.762	133.941	199.879	84.871	81.007	51.806	91.916	120.759	280.882
NM_178662	chr10	81204513	81230779	-	3662.0	1	Atcay|3322401A10Rik|BB077577|BNIP-H|CLAC|hes|ji|-|10 C1|10 39.72 cM|protein-coding	0.803	1.508	0.270	1.298	0.082	0.460	0.468	0.380	1.250	0.945	0.219
NM_024470	chr6	130291161	130308361	-	925.0	1	Klra23|Ly-49W1|Ly-49W2|Ly49W|-|6 F3|6|protein-coding	1.414	0.312	0.000	0.000	1.306	0.152	0.371	3.472	0.042	0.000	1.096
NM_030051	chr19	47865545	47886305	+	1247.0	1	Gsto2|1700020F09Rik|4930425C18Rik|GSTO 2-2|-|19|19 D2|protein-coding	0.098	0.066	0.053	0.035	0.173	0.000	0.092	0.043	0.062	0.036	0.169
NM_178592	chr17	35089291	35102987	+	1923.0	1	Abhd16a|AI326074|Bat-5|Bat5|D17H6S82E|NG26|-|17 B1|17 18.59 cM|protein-coding	38.825	29.213	37.610	29.686	39.317	32.346	35.628	32.041	28.693	30.890	40.076
NM_009244	chr12	103728156	103738189	-	1418.0	1	Serpina1b|D12Ucla2|Dom2|PI2|Spi1-2|-|12 E|12 52.98 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_029157	chr4	124714861	124732422	+	1678.0	1	Sf3a3|4930512K19Rik|60kDa|RP23-230F2.5|4|4 D1|protein-coding	16.926	27.928	19.685	27.445	25.923	23.722	19.132	18.152	30.755	30.821	27.824
NM_001290269	chr1	144519690	144567667	-	820.0	1	Rgs21|EG624910|-|1 F|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_133759	chr19	8802496	8804854	+	1913.0	1	Zbtb3|4930563M09Rik|-|19 A|19|protein-coding	1.324	0.366	0.724	0.707	0.474	0.807	0.956	0.140	0.750	0.517	0.685
NM_001164725	chr1	172596640	172602551	-	1905.0	1	Fcrl6|ENSMUSG00000070504|FcRH6|mIFGP6|moFcRH6|-|1 H3|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.000
NM_001290666	chr2	65845767	66031546	+	10243.0	1	Csrnp3|A330102K23Rik|CSRNP-3|Csnrp3|Mbu1|taip-2|RP23-306G16.1|2 C1.3|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_175654	chr13	23581602	23581969	+	365.0	1	Hist1h4d|-|-|13 A2-A3|13|protein-coding	3.359	0.339	2.529	1.075	1.064	0.769	3.547	0.587	2.232	0.739	1.042
NM_001081194	chr11	100740378	100759778	-	3765.0	1	Kcnh4|BEC2|RP23-390D17.9|11 D|11 63.57 cM|protein-coding	0.000	0.022	0.018	0.000	0.103	0.000	0.000	0.000	0.052	0.000	0.135
NM_023440	chr7	4628040	4630482	-	1217.0	1	Tmem86b|C330014O21Rik|-|7 A1|7|protein-coding	2.955	4.199	4.334	4.443	3.830	4.153	3.317	5.322	3.252	3.397	3.750
NM_001277340	chr12	55565205	55566896	+	1689.0	1	Aldoart2|4933425L11Rik|Aldo1-ps1|Aldoa-ps1|-|12 C1|12|protein-coding	1.548	1.635	2.576	1.704	1.201	1.954	1.646	0.349	1.424	2.501	1.901
NM_001166751	chr7	20374493	20375410	-	916.0	2	Gm8660|EG667485|Vmn1r147|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_198166	chr16	27353322	27370239	-	828.0	1	Uts2b|Gm538|U2B|Urp|Uts2d|-|16 B2|16|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001111286	chr9	78311972	78314048	-	1226.0	1	Omt2a|OM2a|-|9 E1|9 43.65 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_182927	chr7	29158829	29168647	-	4048.0	1	Spred3|AW047143|D130060H24Rik|Spred-3|-|7 B1|7|protein-coding	0.061	0.051	0.033	0.183	0.000	0.000	0.047	0.000	0.096	0.100	0.031
NM_008882	chr1	194619829	194816868	+	11001.0	1	Plxna2|2810428A13Rik|AA589422|AW457381|OCT|PlexA2|Plxn2|mKIAA0463|-|1 H6|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008
NM_028944	chr9	108578826	108597600	-	1799.0	1	P4htm|4933406E20Rik|AI853847|BB128974|Ph-4|-|9 F2|9|protein-coding	3.476	0.939	4.251	2.788	3.118	4.137	4.827	1.994	1.769	3.147	2.090
NM_001177576	chr7	141429749	141434594	-	2534.0	1	Slc25a22|1300006L01Rik|AI060884|Gc1|-|7 F5|7|protein-coding	24.932	13.468	25.185	16.350	23.604	24.907	23.475	16.900	11.025	14.594	28.762
NM_146543	chr13	21674001	21674980	-	977.0	1	Olfr1360|MOR256-10|MOR256-35|RP23-138F20.1|13 A3-A4|13|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_045859	chr14	105427559	105437716	+	1013.0	1	5430440P10Rik|-|-|14|14|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_035494	chr8	13189031	13189098	-	67.0	1	Mir1968|mmu-mir-1968|-|8|8 5.73 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_009638	chr17	40293758	40319207	-	1406.0	1	Crisp1|AW324342|Aeg1|CRISP-1|-|17 B2|17 19.47 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030
NR_045676	chr7	29134933	29153955	+	4576.0	1	Rasgrp4|-|-|7 B1|7 16.94 cM|protein-coding	4.921	2.378	5.043	3.164	4.800	3.176	4.111	4.925	2.764	3.231	3.675
NM_145477	chr15	88805243	88819318	-	1818.0	1	Alg12|ECM39|-|15 E3|15|protein-coding	16.027	14.169	17.951	12.858	11.964	18.227	16.067	14.281	13.233	13.940	13.061
NM_011851	chr9	88327609	88372089	+	3569.0	1	Nt5e|2210401F01Rik|AI447961|CD73|NT|Nt5|eNT|-|9|9 E3.2|protein-coding	10.820	0.912	11.490	1.589	1.342	20.910	22.995	2.055	0.359	0.692	2.013
NR_040630	chr1	106152625	106171524	-	542.0	1	Gm20753|-|RP24-339K18.2|1 E2.1|1|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.281	0.000	0.000	0.000	0.000
NM_015808	chr7	142296377	142297069	-	691.0	1	Krtap5-1|-|-|7 F5|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_028792	chr15	79674250	79687872	-	3388.0	1	Josd1|1300006C06Rik|mKIAA0063|-|15 E1|15|protein-coding	8.323	6.825	7.453	7.800	10.521	7.750	7.217	8.200	8.544	9.191	11.112
NM_133223	chr11	120721468	120723969	+	1070.0	1	Rac3|Rac1B|RP23-84C12.18-001|11 E2|11|protein-coding	2.253	1.002	0.493	1.060	0.363	1.509	0.392	3.352	1.124	0.378	0.632
NM_001038619	chr1	161987302	162478030	-	7496.0	1	Dnm3|9630020E24Rik|AW061159|B230343F03Rik|C530045C17|mKIAA0820|-|1 H2.1|1|protein-coding	0.000	0.104	0.000	0.035	0.006	0.000	0.000	0.000	0.016	0.036	0.000
NM_001115077	chr4	144372760	144377933	-	1430.0	1	Gm13125|EG627009|OTTMUSG00000010547|RP23-231M4.5|4 E1|4|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_105814	chr14	105623642	105623770	-	128.0	1	Mir6390|mmu-mir-6390|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001025084	chrX	37213805	37222258	-	875.0	1	Rhox1|-|RP23-43O20.8|X A3.3|X|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_153680	chr5	31193304	31198900	+	1924.0	1	Snx17|5830447M19Rik|AI790646|D5Ertd260e|b2b1625.1Clo|mKIAA0064|-|5 B1|5|protein-coding	51.613	51.049	47.734	55.624	42.549	50.208	50.435	48.969	46.990	48.226	43.130
NM_001039061	chrX	94234930	94273515	+	2358.0	1	Klhl15|6330500C13Rik|RP23-63A9.1|X C3|X|protein-coding	2.964	3.426	2.516	3.107	2.672	3.811	3.036	2.906	2.468	3.278	3.440
NM_001081678	chr6	28239931	28261601	-	3887.0	1	Zfp800|AA407452|Znf800|-|6 A3.2|6|protein-coding	6.056	7.900	6.513	9.290	8.171	7.911	7.897	6.693	9.244	10.092	7.033
NR_039582	chr4	133369776	133369864	+	88.0	1	Mir5122|mmu-mir-5122|mu-mir-5122|-|4|4 66.25 cM|ncRNA	4.179	4.215	17.981	13.876	11.279	11.967	9.954	13.383	5.291	6.638	8.642
NM_001267715	chr3	5560188	5576248	-	2000.0	1	Pex2|D3Ertd138e|PAF-1|PMP35|Pxmp3|-|3 A1|3 1.96 cM|protein-coding	12.444	14.013	16.647	12.058	11.673	18.042	17.290	15.176	14.512	15.816	7.648
NM_145537	chr2	155701673	155729475	-	2281.0	1	Edem2|9530090G24Rik|AI327354|RP23-388H13.1|2 H1|2|protein-coding	22.287	21.810	18.036	23.746	20.660	16.651	20.286	21.591	25.074	26.357	17.708
NM_001145948	chr4	109415647	109444745	+	2314.0	1	Ttc39a|4922503N01Rik|RP23-110H24.3|4 C7|4|protein-coding	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.017	0.000	0.018
NM_025598	chr2	181187343	181188504	+	790.0	1	Ppdpf|0610012G23Rik|2610317A05Rik|2700038C09Rik|3110053G12Rik|RP23-401L17.4|2 H4|2|protein-coding	18.312	12.156	12.101	17.168	15.787	10.575	12.341	11.045	16.405	19.793	14.547
NR_106201	chr12	93927338	93927464	+	126.0	2	Mir8099-2|mmu-mir-8099-2|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
