	gene_name	label	RNA-LCMV-0d vs. Foxo1-KO-LCMV-0d logFC	KLRGhi-LCMV-7d vs. Foxo1-KO-KLRGhi-LCMV-7d logFC	KLRGlo-LCMV-7d vs. Foxo1-KO-KLRGlo-LCMV-7d logFC	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logFC
NM_001099217	Ly6c2	1	1.95429108757352	0.381562288226187	0.469635214869826	0.353977803494975
NM_013653	Ccl5	1	2.0052877499725903	0.11465487390312501	0.00947406985192475	-0.5970597797859639
NM_013613	Nr4a2	1	2.07403791519778	0.721565218218325	0.38529699503797704	0.984693497054492
NM_010553	Il18rap	1	2.1410571608061497	-0.17654995913697197	-0.0061625474486147105	0.00607899024020805
NM_010430	Hic1	1	2.16853663367817	1.55347174267568	1.29538960959913	0.0739025772810645
NM_009910	Cxcr3	1	2.16870096599803	-0.15895911409022798	-0.201833444927731	0.39632296555780105
NM_001159904	Klrb1c	1	2.18099331378547	-0.167370304040488	-0.555815210730505	-0.401097558394214
NM_146191	Lrrk1	1	2.25058692669551	0.33465236697590506	0.268374799801334	0.147472961765262
NM_010382	H2-Eb1	1	2.25687624656381	-0.136884888562103	-5.1254824061038706e-15	0.38277125980675897
NM_010637	Klf4	1	2.2569627002890296	0.312849683622765	-0.180305594606785	0.213148425109008
NM_001164804	Coro2a	1	2.3079908054115297	0.0266778399991619	0.541795963137066	-0.12199160350105198
NM_001146287	Cables1	1	2.3511055198026	1.0630743086571701	1.2191440483748501	3.66193109915169
NM_008982	Ptprj	1	2.41476627758815	-0.0239109598708758	0.0458477555627819	0.621413214031037
NM_133720	Cysltr2	1	2.43931673586843	0.33360744371456297	0.7009092360852839	0.410816919968617
NM_028075	Tnfrsf13c	1	2.49937914284759	1.39794802348401	1.1949222322581001	1.64029094896642
NM_011313	S100a6	1	2.53547632192203	0.3474938952456	0.299488749550896	0.611305380831593
NM_001002011	Lmna	1	2.54735614977905	1.07486085255409	0.42008933203981197	-0.48772190294887396
NM_026976	Faim3	1	2.5829460645376097	0.0	3.1676405508100296	0.0
NM_019507	Tbx21	1	2.6438196039024104	0.42063065450145604	0.39970104686256297	0.25948776316939304
NM_001128146	5830411N06Rik	1	2.6583747483440097	0.24517690703920497	1.05506881245776	-0.131475132556785
NM_010265	Gcnt1	1	2.72742249604322	0.8447968484688421	1.0101271007475001	2.7364933050766598
NM_001252055	Ly6c1	1	2.74044393038542	1.68340544778772	-0.9923661605481991	-0.8975505514919959
NM_175534	Mrgpre	1	2.81839539724557	2.11752705243848	2.31922752441429	1.28290226057812
NM_153590	Klre1	1	2.8578974740222596	-0.5857675745173809	-1.4126820852564197	-0.128204833775152
NM_144539	Slamf7	1	2.8844838058947904	0.47103555900086896	0.9092476835200078	0.46527308276363594
NM_001163610	Nhsl2	1	2.9389676226229797	-0.0559711609869215	0.351591229178264	0.6342133498431372
NM_008013	Fgl2	1	3.0063420221039103	0.8159652681361991	1.85251688224596	1.1206580970237499
NM_007549	Blk	1	3.01674922734721	0.0	-5.1254824061038706e-15	0.0
NM_021542	Kcnk5	1	3.0833359330510097	0.20024186525067397	0.30770809197640697	0.39453420049705895
NM_001115154	Samd3	1	3.09681234957832	1.1394523372503302	1.45133038616857	1.07854759360782
NM_172909	Cd163l1	1	3.1222028484039903	-0.0997583853579647	-0.161155207525561	0.284277807174511
NM_010444	Nr4a1	1	3.1407470422465003	1.23402282999184	1.154034265203	0.30105374241066196
NM_010478	Hspa1b	1	3.21323352713789	5.3729026964117805	0.28346976980901	-0.40614443356472
NM_001082483	Efr3b	1	3.2381531839868796	1.4526187797248	1.18721642870934	3.5267956254981696
NM_011267	Rgs16	1	3.2897658195609303	0.7635875692367541	0.31058439373504104	2.30379301965575
NM_023422	Hist1h2bc	1	3.3003666461668395	-0.38873753587412996	0.112097797149924	0.316684025687888
NM_001127382	Rbm47	1	3.3468227837642903	-0.30318105592822	-0.18545909185896103	0.137530693785034
NM_007548	Prdm1	1	3.50863785335093	-0.0645226203531788	0.34016141632055397	0.364454131873902
NM_144797	Metrnl	1	3.5651027145004903	1.3170507200805701	1.46666019400803	0.679967941474957
NM_001109873	Cbfa2t3	1	3.56860234650101	1.38948503698547	1.28923684067811	0.625908757488977
NM_010479	Hspa1a	1	3.59698675072833	2.40940790132982	0.9772473941478009	-0.0039338592736898395
NM_008337	Ifng	1	3.6549271483651204	1.07636256558328	0.837935001523702	0.735043320899678
NM_001109657	Gas7	1	3.66758380311432	0.7383635271824079	0.45095658860646703	2.3436000248822
NM_008036	Fosb	1	3.7696050775643504	1.04467850935902	0.288800805675195	0.951488873784164
NM_011352	Sema7a	1	4.0820545655567795	1.35658503022587	1.2264136505654	2.62524686093549
NM_001291894	Lilrb4	1	4.0821544521276705	-0.0185814336129694	0.986980097445855	0.6669453259983851
NM_007646	Cd38	1	4.29703506798118	1.0897620676748299	2.0792233654491	1.18988207841654
NM_001160262	Fam78b	1	4.5322726353419105	-0.299444580961123	0.120059121732373	-0.0289440258792805
NM_007498	Atf3	1	4.61020915221466	1.59681908241427	0.22718782758151398	-0.31441999948860905
NM_146064	Soat2	1	5.43274381658667	0.651394709353664	1.04457545113255	-0.354518080750046
NM_146119	Fam129b	1	5.60954145320423	0.49262302862222096	0.533810185303139	0.808244811185731
NM_015789	Dkkl1	1	7.39815873483212	0.492617156528534	0.6499870943681739	0.234025532837031
NM_001163465	Rhpn1	2	-1.75069699691122	0.7001770475594151	4.641388826727161	2.20271691309503
NM_008969	Ptgs1	2	-0.7938438443614709	-0.202022362006803	7.5288251046646	0.374658582910719
NM_001080934	Slc16a5	2	-0.136566638137617	6.271866640427611	3.67753910705283	3.61684208029288
NM_010636	Klf12	2	-0.00544321438444635	1.5969353340200503	1.8837466101928402	5.00905449229935
NM_145562	Parm1	2	0.0	3.96365582710667	8.80800710277185	3.7254286210314196
NM_001033405	Treml2	2	0.14249124857732	1.0862268447716998	0.62216969253127	4.1115687417297995
NM_011823	Gpr34	2	0.157257512803005	5.954598621115741	5.66127174007644	-3.9103003254732798
NR_045325	Gm19705	2	0.48869807993230896	4.50701749151437	3.2091387839733	-0.5684365729907621
NM_001162970	Aim1l	2	0.7875093484155791	1.67774002542407	2.16919491603402	1.72180802580208
NM_001146275	Iigp1	2	1.08626568341691	1.3659354125893601	3.7337660328083997	0.361651342300897
NM_001164585	Dnajc6	2	1.13666140209497	2.56921084852026	3.56343194487608	3.2561350200840598
NM_010208	Fgr	2	1.14617520425336	2.5980228434850297	1.6110218203164899	3.07383400096878
NM_001170537	Mef2c	2	1.47360813462511	6.1219365502494005	7.5899001050202095	0.0
NM_001252578	Sulf2	2	1.8862581145978001	0.490785735196574	4.08504389845197	3.30921647740919
NM_144919	Hdac11	2	2.29863333031391	2.00246509380717	4.77946551221838	0.0218315417944441
NM_001253743	Fcer2a	2	2.55513425694134	4.5778206085000095	-2.44959164002726	6.55489101988734
NM_011439	Sox13	2	3.3583501301983603	7.462908859591661	5.07997535021267	4.430080617109691
NM_009864	Cdh1	2	3.4437727968778904	4.5778206085000095	6.81763146671261	0.361651342300897
NR_027699	Serp2	3	-4.54259569003846	-2.44323928514887	-2.19762332999865	-1.69055642486866
NM_016959	Rps3a1	3	-3.4667540125191096	-4.38509368559609	-4.01305146831454	-4.04285648310241
NM_008939	Prss12	3	-3.37999314006379	-4.15561370966772	-6.02490308350304	-1.3720782666189297
NM_007799	Ctse	3	-3.32978823892027	-3.1411845779258196	-3.57944888930738	-2.65150685001054
NM_018873	Srcin1	3	-3.1723626929063498	-1.97917743559412	-3.1750309560386403	-1.6554366303910601
NM_019739	Foxo1	3	-2.8418246083002	-3.4113436952015603	-3.49902780898248	-3.07207765679452
NM_008372	Il7r	3	-2.63369794079692	-2.6061243075517497	-2.9269903384055604	-2.57269016860372
NM_001198823	App	3	-2.35399731835488	-1.4511394174062198	1.8696878291970602	0.0277157464803461
NM_011703	Vipr1	3	-2.16138026598136	-1.99614069571513	-2.6771333724320896	-2.10762670528915
NM_009003	Rab4a	3	-2.12375694807459	-2.26376320772142	-1.93182921362831	-1.4741814768848798
NM_001243757	Pde2a	3	-1.8508415527520201	-1.9886709662626698	-2.96937706126473	-1.34805999119719
NM_007955	Ptprv	3	-1.4640880962270701	-2.07173122866572	-1.97544979657753	-2.69405889558442
NM_011723	Xdh	3	-1.4422073208021298	-1.64824179111297	-1.89982956668524	-1.9763858043030602
NM_027309	Lysmd2	3	-1.42886060709679	-1.4603530442526298	-1.4035395245811	-4.24764663675128
NM_017480	Icos	3	-1.3002039280218403	-2.18729559155179	-2.01833766362713	-1.23082293395637
NM_016689	Aqp3	3	-1.25500752452626	-3.4600469824276203	-2.51521025654137	-4.8292724228569295
NM_018805	Hs3st3b1	3	-1.22373089054641	-2.99226554702887	-2.54442186555075	-1.96170595334691
NM_001162884	Igsf10	3	-1.1943552107806699	-2.54414418152618	-2.15496117282814	-3.5049437654514404
NM_009843	Ctla4	3	-1.14317927792957	-2.8644135593450404	-2.57171010500621	-1.3444471474445099
NM_177387	Ust	3	-1.11376278233109	-2.86546337463435	-2.47197004635704	-2.62873110519201
NM_030710	Slamf6	3	-1.05444898210365	-1.55559345815403	-1.81410185170227	-2.30883892652435
NM_001205336	Arap3	3	1.27717917053196	-3.6524567421746896	-3.31754371093671	-2.73091155525675
NM_170684	Cpne7	3	1.86937752802117	-3.17828346730658	-2.66801985999981	-3.46699364523898
NM_007641	Ms4a1	3	2.66865460603516	-5.42813617019333	-4.089886355449	0.0
